2019-01-12 14:04:03 上位机 车牌初始化成功
2019-01-12 14:04:03 PLC 手动运行应答成功(AC01)
2019-01-12 14:04:04 PLC PLC始化成功
2019-01-12 14:04:05 采集卡 192.168.1.26初始化成功。
2019-01-12 14:04:05 采集卡 192.168.1.24初始化成功。
2019-01-12 14:04:05 采集卡 192.168.1.27初始化成功。
2019-01-12 14:04:05 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 14:04:05 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 14:04:50 PLC 触发线圈2(S02)
2019-01-12 14:04:52 高压电源 192.168.127.251关闭高压
2019-01-12 14:04:52 高压电源 192.168.127.252关闭高压
2019-01-12 14:04:52 PLC 手动运行应答成功(AC01)
2019-01-12 14:04:54 PLC 开道闸1应答成功(AC04)
2019-01-12 14:04:54 PLC 开道闸2应答成功(AC15)
2019-01-12 14:04:57 PLC 触发线圈1(S01)
2019-01-12 14:05:09 PLC 触发线圈2(S02)
2019-01-12 14:05:11 PLC 触发线圈3(S03)
2019-01-12 14:05:17 PLC 触发线圈1(S01)
2019-01-12 14:05:20 PLC 关道闸1应答成功(AC05)
2019-01-12 14:05:21 PLC 关道闸2应答成功(AC16)
2019-01-12 14:05:21 PLC 触发线圈2(S02)
2019-01-12 14:05:21 高压电源 192.168.127.252打开高压
2019-01-12 14:05:21 高压电源 192.168.127.251打开高压
2019-01-12 14:05:21 高压电源 训机结束
2019-01-12 14:05:21 PLC 手动运行应答成功(AC01)
2019-01-12 14:05:22 PLC 开接收器(AC17)
2019-01-12 14:05:22 PLC 快门开应答成功(AC02)
2019-01-12 14:05:22 PLC 快门打开(S05)
2019-01-12 14:05:24 采集卡 开始采集满度
2019-01-12 14:05:24 采集卡 启动采集
2019-01-12 14:05:24 采集卡 采集完成
2019-01-12 14:05:24 采集卡 转换数据
2019-01-12 14:05:24 PLC 快门关应答成功(AC03)
2019-01-12 14:05:24 PLC 快门关闭(S06)
2019-01-12 14:05:26 采集卡 开始采集本底
2019-01-12 14:05:26 采集卡 启动采集
2019-01-12 14:05:27 采集卡 采集完成
2019-01-12 14:05:27 采集卡 转换数据
2019-01-12 14:05:27 PLC 快门开应答成功(AC02)
2019-01-12 14:05:27 PLC 快门打开(S05)
