2018-03-07 06:41:09 视频 线扫相机初始化成功。
2018-03-07 06:41:09 采集卡 采集卡0初始化成功。
2018-03-07 06:41:09 采集卡 采集卡1初始化成功。
2018-03-07 06:41:09 采集卡 采集卡2初始化成功。
2018-03-07 06:41:09 采集卡 采集卡3初始化成功。
2018-03-07 06:41:09 高压电源 192.168.127.251:高压电源初始化成功
2018-03-07 06:41:09 高压电源 192.168.127.252:高压电源初始化成功
2018-03-07 06:41:09 高压电源 192.168.127.253:高压电源初始化成功
2018-03-07 06:41:09 PLC 手动运行应答成功(AC01)
2018-03-07 06:41:09 PLC PLC始化成功
2018-03-07 06:41:09 上位机 车牌初始化成功
2018-03-07 06:41:20 PLC 关道闸1应答成功(AC05)
2018-03-07 06:41:21 PLC 关道闸2应答成功(AC16)
2018-03-07 06:41:22 高压电源 192.168.127.251打开高压
2018-03-07 06:41:22 高压电源 192.168.127.253打开高压
2018-03-07 06:41:22 高压电源 192.168.127.252打开高压
2018-03-07 06:41:22 高压电源 训机结束
2018-03-07 06:41:22 PLC 手动运行应答成功(AC01)
2018-03-07 06:41:23 PLC 开接收器(AC17)
2018-03-07 06:41:23 采集卡 开始采集本底
2018-03-07 06:41:23 采集卡 启动采集
2018-03-07 06:41:23 采集卡 采集完成
2018-03-07 06:41:23 采集卡 转换数据
2018-03-07 06:41:23 PLC 快门开应答成功(AC02)
2018-03-07 06:41:24 PLC 快门3打开(S13)
2018-03-07 06:41:26 采集卡 开始采集满度
2018-03-07 06:41:26 采集卡 启动采集
2018-03-07 06:41:26 采集卡 采集完成
2018-03-07 06:41:26 采集卡 转换数据
2018-03-07 06:41:26 采集卡 开始采集图片
2018-03-07 06:41:26 采集卡 启动采集
2018-03-07 06:41:28 采集卡 停止采集
2018-03-07 06:41:28 采集卡 采集完成
2018-03-07 06:41:28 采集卡 转换数据
2018-03-07 06:41:28 采集卡 转换AD
2018-03-07 06:41:28 采集卡 修改点
2018-03-07 06:41:28 采集卡 GAMMA
2018-03-07 06:41:28 采集卡 R233,C7679,S7680
2018-03-07 06:41:28 采集卡 T1789207,C1789207
2018-03-07 06:41:28 采集卡 容积100
2018-03-07 06:41:28 采集卡 反转图像
2018-03-07 06:41:28 采集卡 生成图片数组
2018-03-07 06:41:28 采集卡 图片长度3212
2018-03-07 06:41:30 高压电源 192.168.127.251关闭高压
2018-03-07 06:41:30 高压电源 192.168.127.252关闭高压
2018-03-07 06:41:31 高压电源 192.168.127.253关闭高压
2018-03-07 06:41:31 PLC 快门关应答成功(AC03)
2018-03-07 06:41:31 PLC 快门2关闭(S09)
2018-03-07 06:41:31 PLC 快门关闭(S06)
2018-03-07 06:41:31 PLC 快门3打开(S13)
2018-03-07 06:41:31 PLC 快门2打开(S08)
2018-03-07 06:41:31 PLC 快门3关闭(S14)
2018-03-07 06:41:31 PLC 快门2关闭(S09)
2018-03-07 06:41:31 PLC 快门3关闭(S14)
2018-03-07 06:41:31 PLC 快门2关闭(S09)
2018-03-07 06:41:31 PLC 自动运行应答成功(AC00)
2018-03-07 06:41:31 下位机 启动定时采集
2018-03-07 06:42:01 采集卡 开始采集满度
2018-03-07 06:42:01 采集卡 启动采集
2018-03-07 06:42:01 采集卡 采集完成
2018-03-07 06:42:01 采集卡 转换数据
2018-03-07 06:42:07 高压电源 192.168.127.251关闭高压
2018-03-07 06:42:07 高压电源 192.168.127.252关闭高压
2018-03-07 06:42:07 高压电源 192.168.127.253关闭高压
2018-03-07 06:42:11 PLC 关道闸1应答成功(AC05)
2018-03-07 06:42:12 PLC 关道闸2应答成功(AC16)
2018-03-07 06:42:13 高压电源 192.168.127.251打开高压
2018-03-07 06:42:13 高压电源 192.168.127.252打开高压
2018-03-07 06:42:13 高压电源 192.168.127.253打开高压
2018-03-07 06:42:13 高压电源 训机结束
2018-03-07 06:42:13 PLC 手动运行应答成功(AC01)
2018-03-07 06:42:13 下位机 结束定时采集
2018-03-07 06:42:13 PLC 开接收器(AC17)
2018-03-07 06:42:14 采集卡 开始采集本底
2018-03-07 06:42:14 采集卡 启动采集
2018-03-07 06:42:14 采集卡 采集完成
2018-03-07 06:42:14 采集卡 转换数据
2018-03-07 06:42:14 PLC 快门开应答成功(AC02)
2018-03-07 06:42:14 PLC 快门3打开(S13)
2018-03-07 06:42:16 采集卡 开始采集满度
2018-03-07 06:42:16 采集卡 启动采集
2018-03-07 06:42:16 采集卡 采集完成
2018-03-07 06:42:16 采集卡 转换数据
2018-03-07 06:42:16 采集卡 开始采集图片
2018-03-07 06:42:16 采集卡 启动采集
2018-03-07 06:42:18 采集卡 停止采集
2018-03-07 06:42:18 采集卡 采集完成
2018-03-07 06:42:18 采集卡 转换数据
2018-03-07 06:42:18 采集卡 转换AD
2018-03-07 06:42:18 采集卡 修改点
2018-03-07 06:42:19 采集卡 GAMMA
2018-03-07 06:42:19 采集卡 R233,C7679,S7680
2018-03-07 06:42:19 采集卡 T1789207,C1789207
2018-03-07 06:42:19 采集卡 容积100
2018-03-07 06:42:19 采集卡 反转图像
2018-03-07 06:42:19 采集卡 生成图片数组
2018-03-07 06:42:19 采集卡 图片长度3212
2018-03-07 06:42:21 高压电源 192.168.127.251关闭高压
2018-03-07 06:42:21 高压电源 192.168.127.252关闭高压
2018-03-07 06:42:21 高压电源 192.168.127.253关闭高压
2018-03-07 06:42:21 PLC 快门关应答成功(AC03)
2018-03-07 06:42:22 PLC 快门关闭(S06)
2018-03-07 06:42:22 PLC 快门3打开(S13)
2018-03-07 06:42:22 PLC 快门2打开(S08)
2018-03-07 06:42:22 PLC 快门3关闭(S14)
2018-03-07 06:42:22 PLC 快门2关闭(S09)
2018-03-07 06:42:22 PLC 快门3关闭(S14)
2018-03-07 06:42:22 PLC 快门2关闭(S09)
2018-03-07 06:42:22 PLC 自动运行应答成功(AC00)
2018-03-07 06:42:22 下位机 结束定时采集
2018-03-07 06:42:22 下位机 启动定时采集
2018-03-07 06:45:03 采集卡 开始采集图片
2018-03-07 06:45:03 采集卡 启动采集
2018-03-07 06:45:04 采集卡 采集完成
2018-03-07 06:45:04 采集卡 停止采集
2018-03-07 06:45:04 采集卡 转换数据
2018-03-07 06:45:04 采集卡 转换AD
2018-03-07 06:45:04 采集卡 修改点
