2017-12-29 01:42:26 视频 线扫相机初始化成功。
2017-12-29 01:42:27 采集卡 采集卡0初始化成功。
2017-12-29 01:42:27 采集卡 采集卡1初始化成功。
2017-12-29 01:42:27 采集卡 采集卡2初始化成功。
2017-12-29 01:42:27 采集卡 采集卡3初始化成功。
2017-12-29 01:42:27 高压电源 192.168.127.251:高压电源初始化成功
2017-12-29 01:42:27 高压电源 192.168.127.252:高压电源初始化成功
2017-12-29 01:42:27 PLC 手动运行应答成功(AC01)
2017-12-29 01:42:27 PLC PLC始化成功
2017-12-29 01:42:27 上位机 车牌初始化成功
2017-12-29 01:42:33 高压电源 设置电压150V
2017-12-29 01:42:34 高压电源 设置电流1mA
2017-12-29 01:42:35 高压电源 192.168.127.251打开高压
2017-12-29 01:42:44 PLC 快门开应答成功(AC02)
2017-12-29 01:42:44 PLC 快门3打开(S13)
2017-12-29 01:42:44 PLC 快门2打开(S08)
2017-12-29 01:42:46 采集卡 开始采集满度
2017-12-29 01:42:46 采集卡 启动采集
2017-12-29 01:42:46 采集卡 采集完成
2017-12-29 01:42:46 采集卡 转换数据
2017-12-29 01:42:52 采集卡 开始采集满度
2017-12-29 01:42:52 采集卡 启动采集
2017-12-29 01:42:53 采集卡 采集完成
2017-12-29 01:42:53 采集卡 转换数据
2017-12-29 01:43:15 PLC 快门2关闭(S09)
2017-12-29 01:43:51 PLC 快门关闭(S06)
2017-12-29 01:43:51 PLC 快门3打开(S13)
2017-12-29 01:43:51 PLC 快门2打开(S08)
2017-12-29 01:43:51 PLC 快门3关闭(S14)
2017-12-29 01:43:51 PLC 快门2关闭(S09)
2017-12-29 01:47:18 高压电源 192.168.127.251打开高压
2017-12-29 01:47:21 PLC 快门开应答成功(AC02)
2017-12-29 01:47:21 PLC 快门3打开(S13)
2017-12-29 01:47:21 PLC 快门打开(S05)
2017-12-29 01:47:22 采集卡 开始采集满度
2017-12-29 01:47:22 采集卡 启动采集
