2019-01-14 15:28:38 上位机 车牌初始化成功
2019-01-14 15:28:38 PLC 手动运行应答成功(AC01)
2019-01-14 15:28:38 PLC PLC始化成功
2019-01-14 15:28:40 采集卡 192.168.1.24初始化成功。
2019-01-14 15:28:40 采集卡 192.168.1.27初始化成功。
2019-01-14 15:28:40 采集卡 192.168.1.26初始化成功。
2019-01-14 15:28:40 采集卡 192.168.1.28初始化成功。
2019-01-14 15:28:40 高压电源 192.168.127.251:高压电源初始化成功
2019-01-14 15:28:40 高压电源 192.168.127.252:高压电源初始化成功
2019-01-14 15:28:49 PLC 触发线圈2(S02)
2019-01-14 15:28:53 PLC 自动运行应答成功(AC00)
2019-01-14 15:28:55 PLC 关道闸1应答成功(AC05)
2019-01-14 15:28:55 PLC 关道闸2应答成功(AC16)
2019-01-14 15:28:55 高压电源 192.168.127.252打开高压
2019-01-14 15:28:55 高压电源 192.168.127.251打开高压
2019-01-14 15:28:55 高压电源 训机结束
2019-01-14 15:28:56 高压电源 192.168.127.251打开高压
2019-01-14 15:28:56 高压电源 192.168.127.252打开高压
2019-01-14 15:28:56 PLC 手动运行应答成功(AC01)
2019-01-14 15:28:56 PLC 开接收器(AC17)
2019-01-14 15:28:56 PLC 快门开应答成功(AC02)
2019-01-14 15:28:57 PLC 快门打开(S05)
2019-01-14 15:28:58 采集卡 开始采集满度
2019-01-14 15:28:58 采集卡 启动采集
2019-01-14 15:28:58 采集卡 采集完成
2019-01-14 15:28:58 采集卡 转换数据
2019-01-14 15:28:58 PLC 快门关应答成功(AC03)
2019-01-14 15:28:58 PLC 快门关闭(S06)
2019-01-14 15:28:59 高压电源 192.168.127.251关闭高压
2019-01-14 15:29:00 高压电源 192.168.127.252关闭高压
2019-01-14 15:29:00 采集卡 开始采集本底
2019-01-14 15:29:00 采集卡 启动采集
2019-01-14 15:29:01 采集卡 采集完成
2019-01-14 15:29:01 采集卡 转换数据
2019-01-14 15:29:01 高压电源 192.168.127.251打开高压
2019-01-14 15:29:01 高压电源 192.168.127.252打开高压
2019-01-14 15:29:02 PLC 快门开应答成功(AC02)
2019-01-14 15:29:02 PLC 快门打开(S05)
2019-01-14 15:29:04 采集卡 开始采集图片
2019-01-14 15:29:04 采集卡 启动采集
2019-01-14 15:29:06 采集卡 停止采集
2019-01-14 15:29:06 采集卡 采集完成
2019-01-14 15:29:06 采集卡 转换数据
2019-01-14 15:29:06 采集卡 转换AD
2019-01-14 15:29:06 采集卡 修改点
2019-01-14 15:29:06 采集卡 GAMMA
2019-01-14 15:29:06 采集卡 容积99
2019-01-14 15:29:06 采集卡 反转图像
2019-01-14 15:29:06 采集卡 生成图片数组
2019-01-14 15:29:06 采集卡 图片长度9371
2019-01-14 15:29:08 PLC 快门关应答成功(AC03)
2019-01-14 15:29:08 PLC 快门关闭(S06)
2019-01-14 15:29:08 PLC 自动运行应答成功(AC00)
2019-01-14 15:29:12 PLC 自动运行应答成功(AC00)
2019-01-14 15:29:13 PLC 关道闸1应答成功(AC05)
2019-01-14 15:29:13 PLC 关道闸2应答成功(AC16)
2019-01-14 15:29:14 高压电源 192.168.127.252打开高压
2019-01-14 15:29:14 高压电源 192.168.127.251打开高压
2019-01-14 15:29:14 高压电源 训机结束
2019-01-14 15:29:14 高压电源 192.168.127.251打开高压
2019-01-14 15:29:14 高压电源 192.168.127.252打开高压
2019-01-14 15:29:14 PLC 手动运行应答成功(AC01)
2019-01-14 15:29:14 PLC 开接收器(AC17)
2019-01-14 15:29:15 PLC 快门开应答成功(AC02)
2019-01-14 15:29:15 PLC 快门打开(S05)
2019-01-14 15:29:16 采集卡 开始采集满度
2019-01-14 15:29:16 采集卡 启动采集
2019-01-14 15:29:16 采集卡 采集完成
2019-01-14 15:29:16 采集卡 转换数据
2019-01-14 15:29:16 PLC 快门关应答成功(AC03)
2019-01-14 15:29:16 PLC 快门关闭(S06)
2019-01-14 15:29:18 高压电源 192.168.127.251关闭高压
2019-01-14 15:29:18 高压电源 192.168.127.252关闭高压
2019-01-14 15:29:19 采集卡 开始采集本底
2019-01-14 15:29:19 采集卡 启动采集
2019-01-14 15:29:19 采集卡 采集完成
2019-01-14 15:29:19 采集卡 转换数据
2019-01-14 15:29:19 高压电源 192.168.127.251打开高压
2019-01-14 15:29:20 高压电源 192.168.127.252打开高压
2019-01-14 15:29:21 PLC 快门开应答成功(AC02)
2019-01-14 15:29:21 PLC 快门打开(S05)
2019-01-14 15:29:23 采集卡 开始采集图片
2019-01-14 15:29:23 采集卡 启动采集
2019-01-14 15:29:25 采集卡 停止采集
2019-01-14 15:29:25 采集卡 采集完成
2019-01-14 15:29:25 采集卡 转换数据
2019-01-14 15:29:25 采集卡 转换AD
2019-01-14 15:29:25 采集卡 修改点
2019-01-14 15:29:25 采集卡 GAMMA
2019-01-14 15:29:25 采集卡 容积99
2019-01-14 15:29:25 采集卡 反转图像
2019-01-14 15:29:25 采集卡 生成图片数组
2019-01-14 15:29:25 采集卡 图片长度9473
2019-01-14 15:29:27 PLC 快门关应答成功(AC03)
2019-01-14 15:29:27 PLC 快门关闭(S06)
2019-01-14 15:29:27 PLC 自动运行应答成功(AC00)
2019-01-14 15:29:46 PLC 触发线圈2(S02)
2019-01-14 15:29:46 下位机 打开高压
2019-01-14 15:29:46 高压电源 192.168.127.251打开高压
2019-01-14 15:29:46 高压电源 192.168.127.252打开高压
2019-01-14 15:29:46 视频 开始线扫
2019-01-14 15:33:44 高压电源 192.168.127.251关闭高压
2019-01-14 15:33:44 高压电源 192.168.127.252关闭高压
