2018-01-21 01:04:56 视频 线扫相机初始化成功。
2018-01-21 01:04:56 采集卡 采集卡0初始化成功。
2018-01-21 01:04:56 采集卡 采集卡1初始化成功。
2018-01-21 01:04:56 采集卡 采集卡2初始化成功。
2018-01-21 01:04:56 采集卡 采集卡3初始化成功。
2018-01-21 01:04:57 高压电源 192.168.127.252:高压电源初始化成功
2018-01-21 01:04:57 高压电源 192.168.127.253:高压电源初始化成功
2018-01-21 01:04:57 高压电源 192.168.127.251:高压电源初始化成功
2018-01-21 01:04:57 PLC PLC始化成功
2018-01-21 01:04:57 上位机 车牌初始化成功
2018-01-21 01:05:06 高压电源 192.168.127.253打开高压
2018-01-21 01:05:06 高压电源 192.168.127.251打开高压
2018-01-21 01:05:06 高压电源 192.168.127.252打开高压
2018-01-21 01:05:06 高压电源 训机结束
2018-01-21 01:05:06 采集卡 开始采集本底
2018-01-21 01:05:06 采集卡 启动采集
2018-01-21 01:05:06 采集卡 采集完成
2018-01-21 01:05:33 采集卡 转换数据
2018-01-21 01:06:14 采集卡 开始采集本底
2018-01-21 01:06:14 采集卡 启动采集
2018-01-21 01:06:14 采集卡 采集完成
2018-01-21 01:06:43 采集卡 转换数据
2018-01-21 01:07:29 采集卡 开始采集本底
2018-01-21 01:07:29 采集卡 启动采集
2018-01-21 01:07:29 采集卡 采集完成
2018-01-21 01:07:44 采集卡 转换数据
2018-01-21 01:09:48 采集卡 开始采集本底
2018-01-21 01:09:48 采集卡 启动采集
2018-01-21 01:09:49 采集卡 采集完成
2018-01-21 01:09:57 采集卡 转换数据
2018-01-21 01:11:26 采集卡 开始采集本底
2018-01-21 01:11:26 采集卡 启动采集
2018-01-21 01:11:27 采集卡 采集完成
2018-01-21 01:11:27 采集卡 转换数据
2018-01-21 01:11:48 采集卡 开始采集本底
2018-01-21 01:11:48 采集卡 启动采集
2018-01-21 01:11:49 采集卡 采集完成
2018-01-21 01:11:49 采集卡 转换数据
