2018-03-06 10:39:26 视频 线扫相机初始化成功。
2018-03-06 10:39:26 采集卡 采集卡0初始化成功。
2018-03-06 10:39:26 采集卡 采集卡1初始化成功。
2018-03-06 10:39:26 采集卡 采集卡2初始化成功。
2018-03-06 10:39:26 采集卡 采集卡3初始化成功。
2018-03-06 10:39:26 高压电源 192.168.127.252:高压电源初始化成功
2018-03-06 10:39:26 高压电源 192.168.127.253:高压电源初始化成功
2018-03-06 10:39:26 PLC 手动运行应答成功(AC01)
2018-03-06 10:39:27 PLC PLC始化成功
2018-03-06 10:39:27 上位机 车牌初始化成功
2018-03-06 10:39:30 高压电源 更新训机时间1
2018-03-06 10:39:33 高压电源 更新训机时间1
2018-03-06 10:39:36 高压电源 更新训机时间1
2018-03-06 10:39:38 PLC 关道闸1应答成功(AC05)
2018-03-06 10:39:39 PLC 关道闸2应答成功(AC16)
2018-03-06 10:39:40 高压电源 192.168.127.253打开高压
2018-03-06 10:39:40 高压电源 192.168.127.251打开高压
2018-03-06 10:39:40 高压电源 192.168.127.252打开高压
2018-03-06 10:39:40 高压电源 训机结束
2018-03-06 10:39:40 PLC 手动运行应答成功(AC01)
2018-03-06 10:39:40 采集卡 开始采集本底
2018-03-06 10:39:40 采集卡 启动采集
2018-03-06 10:39:41 采集卡 采集完成
2018-03-06 10:39:41 采集卡 转换数据
2018-03-06 10:39:41 PLC 快门开应答成功(AC02)
2018-03-06 10:39:41 PLC 快门3打开(S13)
2018-03-06 10:39:43 采集卡 开始采集满度
2018-03-06 10:39:43 采集卡 启动采集
2018-03-06 10:39:43 采集卡 采集完成
2018-03-06 10:39:43 采集卡 转换数据
2018-03-06 10:39:43 采集卡 开始采集图片
2018-03-06 10:39:43 采集卡 启动采集
2018-03-06 10:39:45 采集卡 停止采集
2018-03-06 10:39:45 采集卡 采集完成
2018-03-06 10:39:45 采集卡 转换数据
2018-03-06 10:39:45 采集卡 转换AD
2018-03-06 10:39:45 采集卡 修改点
2018-03-06 10:39:45 采集卡 GAMMA
2018-03-06 10:39:45 采集卡 模糊处理
2018-03-06 10:39:45 采集卡 R0,C0,S7616
2018-03-06 10:39:45 采集卡 容积0
2018-03-06 10:39:45 采集卡 反转图像
2018-03-06 10:39:45 采集卡 生成图片数组
2018-03-06 10:39:45 采集卡 图片长度21849
2018-03-06 10:39:46 PLC 快门关应答成功(AC03)
2018-03-06 10:39:46 PLC 快门关闭(S06)
2018-03-06 10:39:46 PLC 快门3打开(S13)
2018-03-06 10:39:46 PLC 快门2打开(S08)
2018-03-06 10:39:46 PLC 快门2关闭(S09)
2018-03-06 10:43:36 PLC 自动运行应答成功(AC00)
2018-03-06 10:43:39 高压电源 192.168.127.251关闭高压
2018-03-06 10:43:40 高压电源 192.168.127.252关闭高压
2018-03-06 10:43:40 高压电源 192.168.127.253关闭高压
2018-03-06 10:43:46 PLC 关道闸1应答成功(AC05)
2018-03-06 10:43:46 PLC 关道闸2应答成功(AC16)
2018-03-06 10:43:47 高压电源 192.168.127.253打开高压
2018-03-06 10:43:47 高压电源 192.168.127.251打开高压
2018-03-06 10:43:48 高压电源 192.168.127.252打开高压
2018-03-06 10:43:48 高压电源 训机结束
2018-03-06 10:43:48 PLC 手动运行应答成功(AC01)
2018-03-06 10:43:48 采集卡 开始采集本底
2018-03-06 10:43:48 采集卡 启动采集
2018-03-06 10:43:48 采集卡 采集完成
2018-03-06 10:43:48 采集卡 转换数据
2018-03-06 10:43:48 PLC 快门开应答成功(AC02)
2018-03-06 10:43:48 PLC 快门3打开(S13)
2018-03-06 10:43:50 采集卡 开始采集满度
2018-03-06 10:43:50 采集卡 启动采集
2018-03-06 10:43:51 采集卡 采集完成
2018-03-06 10:43:51 采集卡 转换数据
2018-03-06 10:43:51 采集卡 开始采集图片
2018-03-06 10:43:51 采集卡 启动采集
2018-03-06 10:43:53 采集卡 停止采集
2018-03-06 10:43:53 采集卡 采集完成
2018-03-06 10:43:53 采集卡 转换数据
2018-03-06 10:43:53 采集卡 转换AD
2018-03-06 10:43:53 采集卡 修改点
2018-03-06 10:43:53 采集卡 GAMMA
2018-03-06 10:43:53 采集卡 模糊处理
2018-03-06 10:43:53 采集卡 R0,C0,S7616
2018-03-06 10:43:53 采集卡 容积0
2018-03-06 10:43:53 采集卡 反转图像
2018-03-06 10:43:53 采集卡 生成图片数组
2018-03-06 10:43:53 采集卡 图片长度21774
2018-03-06 10:43:53 PLC 快门关应答成功(AC03)
2018-03-06 10:43:54 PLC 快门关闭(S06)
2018-03-06 10:43:54 PLC 快门3打开(S13)
2018-03-06 10:43:54 PLC 快门2打开(S08)
2018-03-06 10:47:22 PLC 快门2关闭(S09)
2018-03-06 10:47:56 高压电源 192.168.127.251关闭高压
2018-03-06 10:47:57 高压电源 192.168.127.252关闭高压
2018-03-06 10:47:57 高压电源 192.168.127.253关闭高压
