2019-01-12 13:46:37 上位机 车牌初始化成功
2019-01-12 13:46:37 PLC 手动运行应答成功(AC01)
2019-01-12 13:46:38 PLC PLC始化成功
2019-01-12 13:46:39 采集卡 192.168.1.26初始化成功。
2019-01-12 13:46:39 采集卡 192.168.1.27初始化成功。
2019-01-12 13:46:40 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 13:46:40 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 13:46:54 PLC 触发线圈2(S02)
2019-01-12 13:46:59 PLC 触发线圈1(S01)
2019-01-12 13:48:11 PLC 触发线圈2(S02)
2019-01-12 13:48:16 PLC 触发线圈1(S01)
2019-01-12 13:48:41 PLC 触发线圈2(S02)
2019-01-12 13:50:52 PLC 触发线圈1(S01)
2019-01-12 13:50:57 PLC 触发线圈2(S02)
2019-01-12 13:51:36 PLC 关道闸1应答成功(AC05)
2019-01-12 13:51:37 PLC 关道闸2应答成功(AC16)
2019-01-12 13:51:37 高压电源 192.168.127.252打开高压
2019-01-12 13:51:37 高压电源 192.168.127.251打开高压
2019-01-12 13:51:37 高压电源 训机结束
2019-01-12 13:51:38 高压电源 192.168.127.251打开高压
2019-01-12 13:51:38 高压电源 192.168.127.252打开高压
2019-01-12 13:51:38 PLC 手动运行应答成功(AC01)
2019-01-12 13:51:38 PLC 开接收器(AC17)
2019-01-12 13:51:38 采集卡 开始采集本底
2019-01-12 13:51:38 采集卡 启动采集
2019-01-12 13:51:39 采集卡 采集完成
2019-01-12 13:51:39 采集卡 转换数据
2019-01-12 13:51:39 PLC 快门开应答成功(AC02)
2019-01-12 13:51:39 PLC 快门打开(S05)
2019-01-12 13:51:41 采集卡 开始采集满度
2019-01-12 13:51:41 采集卡 启动采集
2019-01-12 13:51:41 采集卡 采集完成
2019-01-12 13:51:41 采集卡 转换数据
2019-01-12 13:51:41 采集卡 开始采集图片
2019-01-12 13:51:41 采集卡 启动采集
2019-01-12 13:51:43 采集卡 停止采集
2019-01-12 13:51:43 采集卡 采集完成
2019-01-12 13:51:43 采集卡 转换数据
2019-01-12 13:51:43 采集卡 转换AD
2019-01-12 13:51:43 采集卡 修改点
2019-01-12 13:51:43 采集卡 GAMMA
2019-01-12 13:51:43 采集卡 容积99
2019-01-12 13:51:43 采集卡 反转图像
2019-01-12 13:51:43 采集卡 生成图片数组
2019-01-12 13:51:43 采集卡 图片长度48287
