2019-09-25 16:10:21 上位机 车牌初始化成功
2019-09-25 16:10:21 PLC 手动运行应答成功(AC01)
2019-09-25 16:10:21 PLC PLC始化成功
2019-09-25 16:10:24 采集卡 192.168.1.26初始化成功。
2019-09-25 16:10:24 采集卡 192.168.1.28初始化成功。
2019-09-25 16:10:24 采集卡 192.168.1.30初始化成功。
2019-09-25 16:10:24 高压电源 192.168.100.106:高压电源初始化成功
2019-09-25 16:10:24 高压电源 192.168.100.105:高压电源初始化成功
2019-09-25 16:10:32 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:32 PLC 快门关闭(S06)
2019-09-25 16:10:32 PLC 快门2打开(S08)
2019-09-25 16:10:32 PLC 快门3打开(S13)
2019-09-25 16:10:39 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:39 PLC 快门关闭(S06)
2019-09-25 16:10:39 PLC 快门2打开(S08)
2019-09-25 16:10:39 PLC 快门3打开(S13)
2019-09-25 16:10:41 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:41 PLC 快门关闭(S06)
2019-09-25 16:10:41 PLC 快门2打开(S08)
2019-09-25 16:10:41 PLC 快门3打开(S13)
2019-09-25 16:10:42 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:43 PLC 快门关闭(S06)
2019-09-25 16:10:43 PLC 快门2打开(S08)
2019-09-25 16:10:43 PLC 快门3打开(S13)
2019-09-25 16:10:43 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:44 PLC 快门关闭(S06)
2019-09-25 16:10:44 PLC 快门2打开(S08)
2019-09-25 16:10:44 PLC 快门3打开(S13)
2019-09-25 16:10:45 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:45 PLC 快门关闭(S06)
2019-09-25 16:10:45 PLC 快门2打开(S08)
2019-09-25 16:10:45 PLC 快门3打开(S13)
2019-09-25 16:10:46 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:46 PLC 快门关闭(S06)
2019-09-25 16:10:46 PLC 快门2打开(S08)
2019-09-25 16:10:46 PLC 快门3打开(S13)
2019-09-25 16:10:47 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:10:47 PLC 快门关闭(S06)
2019-09-25 16:10:47 PLC 快门2打开(S08)
2019-09-25 16:10:47 PLC 快门3打开(S13)
2019-09-25 16:10:48 PLC 快门开应答成功(AC02)
2019-09-25 16:10:49 PLC 快门打开(S05)
2019-09-25 16:10:50 PLC 快门关应答成功(AC03)
2019-09-25 16:10:50 PLC 快门关闭(S06)
2019-09-25 16:10:53 PLC 快门开应答成功(AC02)
2019-09-25 16:10:54 PLC 快门打开(S05)
2019-09-25 16:10:57 PLC 快门关应答成功(AC03)
2019-09-25 16:10:58 PLC 快门关闭(S06)
2019-09-25 16:10:59 PLC 开道闸1应答成功(AC04)
2019-09-25 16:11:00 PLC 关道闸1应答成功(AC05)
2019-09-25 16:11:07 PLC 自动运行应答成功(AC00)
2019-09-25 16:11:08 PLC 手动运行应答成功(AC01)
2019-09-25 16:11:10 PLC 清除报警应答成功(AC12)
2019-09-25 16:11:12 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:11:13 PLC 快门关闭(S06)
2019-09-25 16:11:13 PLC 快门2打开(S08)
2019-09-25 16:11:13 PLC 快门3打开(S13)
2019-09-25 16:11:14 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:11:14 PLC 快门关闭(S06)
2019-09-25 16:11:14 PLC 快门2打开(S08)
2019-09-25 16:11:14 PLC 快门3打开(S13)
2019-09-25 16:11:15 PLC 读取快门状态应答成功(AC13)
2019-09-25 16:11:15 PLC 快门关闭(S06)
2019-09-25 16:11:15 PLC 快门2打开(S08)
2019-09-25 16:11:15 PLC 快门3打开(S13)
2019-09-25 16:11:29 PLC 自动运行应答成功(AC00)
2019-09-25 16:12:58 PLC 关道闸1应答成功(AC05)
2019-09-25 16:12:59 PLC 关道闸2应答成功(AC16)
2019-09-25 16:12:59 高压电源 192.168.100.105打开高压
2019-09-25 16:12:59 高压电源 192.168.100.106打开高压
2019-09-25 16:12:59 高压电源 训机结束
2019-09-25 16:12:59 高压电源 192.168.100.106打开高压
2019-09-25 16:12:59 高压电源 192.168.100.105打开高压
2019-09-25 16:12:59 PLC 手动运行应答成功(AC01)
2019-09-25 16:12:59 PLC 开接收器(AC17)
2019-09-25 16:12:59 高压电源 192.168.100.106关闭高压
2019-09-25 16:12:59 高压电源 192.168.100.105关闭高压
2019-09-25 16:13:00 采集卡 开始采集本底
2019-09-25 16:13:00 采集卡 启动采集
2019-09-25 16:13:00 采集卡 采集完成
2019-09-25 16:13:00 采集卡 转换数据
2019-09-25 16:13:00 高压电源 192.168.100.106打开高压
2019-09-25 16:13:00 高压电源 192.168.100.105打开高压
2019-09-25 16:13:01 PLC 快门开应答成功(AC02)
2019-09-25 16:13:01 PLC 快门打开(S05)
2019-09-25 16:13:49 PLC 快门关应答成功(AC03)
2019-09-25 16:13:49 PLC 快门关闭(S06)
2019-09-25 16:13:52 高压电源 192.168.100.106关闭高压
2019-09-25 16:13:52 高压电源 192.168.100.105关闭高压
