2019-01-14 15:06:12 上位机 车牌初始化成功
2019-01-14 15:06:12 PLC 手动运行应答成功(AC01)
2019-01-14 15:06:12 PLC PLC始化成功
2019-01-14 15:06:14 采集卡 192.168.1.26初始化成功。
2019-01-14 15:06:14 采集卡 192.168.1.24初始化成功。
2019-01-14 15:06:14 采集卡 192.168.1.28初始化成功。
2019-01-14 15:06:14 采集卡 192.168.1.27初始化成功。
2019-01-14 15:06:14 高压电源 192.168.127.251:高压电源初始化成功
2019-01-14 15:06:14 高压电源 192.168.127.252:高压电源初始化成功
2019-01-14 15:06:33 PLC 触发线圈2(S02)
2019-01-14 15:06:33 视频 开始线扫
2019-01-14 15:07:42 PLC 触发线圈3(S03)
2019-01-14 15:07:51 PLC 触发线圈2(S02)
2019-01-14 15:07:51 视频 开始线扫
2019-01-14 15:08:00 PLC 触发线圈2(S02)
2019-01-14 15:08:00 视频 开始线扫
2019-01-14 15:08:37 PLC 触发线圈2(S02)
2019-01-14 15:08:37 视频 开始线扫
2019-01-14 15:08:45 PLC 触发线圈2(S02)
2019-01-14 15:08:45 视频 开始线扫
2019-01-14 15:10:08 PLC 触发线圈3(S03)
2019-01-14 15:10:52 PLC 触发线圈2(S02)
2019-01-14 15:10:52 视频 开始线扫
