2018-01-21 01:41:14 视频 线扫相机初始化成功。
2018-01-21 01:41:14 采集卡 采集卡0初始化成功。
2018-01-21 01:41:14 采集卡 采集卡1初始化成功。
2018-01-21 01:41:14 采集卡 采集卡2初始化成功。
2018-01-21 01:41:14 采集卡 采集卡3初始化成功。
2018-01-21 01:41:14 高压电源 192.168.127.251:高压电源初始化成功
2018-01-21 01:41:14 高压电源 192.168.127.252:高压电源初始化成功
2018-01-21 01:41:14 高压电源 192.168.127.253:高压电源初始化成功
2018-01-21 01:41:14 PLC PLC始化成功
2018-01-21 01:41:14 上位机 车牌初始化成功
2018-01-21 01:41:23 高压电源 192.168.127.253打开高压
2018-01-21 01:41:23 高压电源 192.168.127.252打开高压
2018-01-21 01:41:23 高压电源 192.168.127.251打开高压
2018-01-21 01:41:23 高压电源 训机结束
2018-01-21 01:41:24 采集卡 开始采集本底
2018-01-21 01:41:24 采集卡 启动采集
2018-01-21 01:41:24 采集卡 采集完成
2018-01-21 01:41:24 采集卡 转换数据
2018-01-21 01:41:35 采集卡 转换AD
2018-01-21 01:41:35 采集卡 修改点
2018-01-21 01:41:35 采集卡 GAMMA
2018-01-21 01:41:35 采集卡 模糊处理
2018-01-21 01:41:35 采集卡 R255，C447
2018-01-21 01:41:35 采集卡 T113985,C447
2018-01-21 01:41:35 采集卡 容积0
2018-01-21 01:41:35 采集卡 容积0
2018-01-21 01:41:35 采集卡 反转图像
2018-01-21 01:41:35 采集卡 生成图片数组
2018-01-21 01:41:35 采集卡 图片长度11860
2018-01-21 01:44:22 采集卡 开始采集本底
2018-01-21 01:44:22 采集卡 启动采集
2018-01-21 01:44:22 采集卡 采集完成
2018-01-21 01:44:22 采集卡 转换数据
2018-01-21 01:48:11 采集卡 开始采集本底
2018-01-21 01:48:11 采集卡 启动采集
2018-01-21 01:48:11 采集卡 采集完成
2018-01-21 01:48:11 采集卡 转换数据
2018-01-21 01:48:35 采集卡 开始采集本底
2018-01-21 01:48:35 采集卡 启动采集
2018-01-21 01:48:35 采集卡 采集完成
2018-01-21 01:48:35 采集卡 转换数据
2018-01-21 01:48:46 采集卡 开始采集本底
2018-01-21 01:48:46 采集卡 启动采集
2018-01-21 01:48:46 采集卡 采集完成
