2019-01-12 13:34:46 上位机 车牌初始化成功
2019-01-12 13:34:46 PLC 手动运行应答成功(AC01)
2019-01-12 13:34:46 PLC PLC始化成功
2019-01-12 13:34:48 采集卡 192.168.1.24初始化成功。
2019-01-12 13:34:48 采集卡 192.168.1.26初始化成功。
2019-01-12 13:34:48 采集卡 192.168.1.27初始化成功。
2019-01-12 13:34:48 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 13:34:48 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 13:34:59 PLC 关道闸1应答成功(AC05)
2019-01-12 13:35:00 PLC 关道闸2应答成功(AC16)
2019-01-12 13:35:01 高压电源 192.168.127.251打开高压
2019-01-12 13:35:01 高压电源 192.168.127.252打开高压
2019-01-12 13:35:01 高压电源 训机结束
2019-01-12 13:35:01 PLC 手动运行应答成功(AC01)
2019-01-12 13:35:01 PLC 开接收器(AC17)
2019-01-12 13:35:02 采集卡 开始采集本底
2019-01-12 13:35:02 采集卡 启动采集
2019-01-12 13:35:02 采集卡 采集完成
2019-01-12 13:35:02 采集卡 转换数据
2019-01-12 13:35:02 PLC 快门开应答成功(AC02)
2019-01-12 13:35:02 PLC 快门打开(S05)
2019-01-12 13:35:04 采集卡 开始采集满度
2019-01-12 13:35:04 采集卡 启动采集
2019-01-12 13:35:04 采集卡 采集完成
2019-01-12 13:35:04 采集卡 转换数据
2019-01-12 13:35:04 采集卡 开始采集图片
2019-01-12 13:35:04 采集卡 启动采集
2019-01-12 13:35:06 采集卡 停止采集
2019-01-12 13:35:06 采集卡 采集完成
2019-01-12 13:35:06 采集卡 转换数据
2019-01-12 13:35:06 采集卡 转换AD
2019-01-12 13:35:06 采集卡 修改点
2019-01-12 13:35:06 采集卡 GAMMA
2019-01-12 13:35:06 采集卡 容积0
2019-01-12 13:35:06 采集卡 反转图像
2019-01-12 13:35:06 采集卡 生成图片数组
2019-01-12 13:35:06 采集卡 图片长度16495
2019-01-12 13:35:08 PLC 快门关应答成功(AC03)
2019-01-12 13:35:08 PLC 快门关闭(S06)
2019-01-12 13:35:08 PLC 自动运行应答成功(AC00)
2019-01-12 13:35:14 PLC 手动运行应答成功(AC01)
2019-01-12 13:35:15 采集卡 开始采集本底
2019-01-12 13:35:15 采集卡 启动采集
2019-01-12 13:35:15 采集卡 采集完成
2019-01-12 13:35:15 采集卡 转换数据
2019-01-12 13:35:15 PLC 开接收器(AC17)
2019-01-12 13:35:15 PLC 快门开应答成功(AC02)
2019-01-12 13:35:15 PLC 快门打开(S05)
2019-01-12 13:35:17 采集卡 开始采集满度
2019-01-12 13:35:17 采集卡 启动采集
2019-01-12 13:35:18 采集卡 采集完成
2019-01-12 13:35:18 采集卡 转换数据
2019-01-12 13:35:18 采集卡 开始采集图片
2019-01-12 13:35:18 采集卡 启动采集
2019-01-12 13:35:20 采集卡 停止采集
2019-01-12 13:35:20 采集卡 采集完成
2019-01-12 13:35:20 采集卡 转换数据
2019-01-12 13:35:20 采集卡 转换AD
2019-01-12 13:35:20 采集卡 修改点
2019-01-12 13:35:20 采集卡 GAMMA
2019-01-12 13:35:20 采集卡 容积99
2019-01-12 13:35:20 采集卡 反转图像
2019-01-12 13:35:20 采集卡 生成图片数组
2019-01-12 13:35:20 采集卡 图片长度42020
2019-01-12 13:35:21 PLC 快门关应答成功(AC03)
2019-01-12 13:35:22 PLC 快门关闭(S06)
2019-01-12 13:35:22 PLC 自动运行应答成功(AC00)
2019-01-12 13:35:26 PLC 手动运行应答成功(AC01)
2019-01-12 13:35:27 采集卡 开始采集本底
2019-01-12 13:35:27 采集卡 启动采集
2019-01-12 13:35:27 采集卡 采集完成
2019-01-12 13:35:27 采集卡 转换数据
2019-01-12 13:35:28 PLC 开接收器(AC17)
2019-01-12 13:35:28 PLC 快门开应答成功(AC02)
2019-01-12 13:35:28 PLC 快门打开(S05)
2019-01-12 13:35:30 采集卡 开始采集满度
2019-01-12 13:35:30 采集卡 启动采集
2019-01-12 13:35:30 采集卡 采集完成
2019-01-12 13:35:30 采集卡 转换数据
2019-01-12 13:35:30 采集卡 开始采集图片
2019-01-12 13:35:30 采集卡 启动采集
2019-01-12 13:35:32 采集卡 停止采集
2019-01-12 13:35:32 采集卡 采集完成
2019-01-12 13:35:32 采集卡 转换数据
2019-01-12 13:35:32 采集卡 转换AD
2019-01-12 13:35:32 采集卡 修改点
2019-01-12 13:35:32 采集卡 GAMMA
2019-01-12 13:35:32 采集卡 容积98
2019-01-12 13:35:32 采集卡 反转图像
2019-01-12 13:35:32 采集卡 生成图片数组
2019-01-12 13:35:32 采集卡 图片长度43191
2019-01-12 13:35:34 PLC 快门关应答成功(AC03)
2019-01-12 13:35:34 PLC 快门关闭(S06)
2019-01-12 13:35:34 PLC 自动运行应答成功(AC00)
2019-01-12 13:35:35 PLC 手动运行应答成功(AC01)
2019-01-12 13:35:35 采集卡 开始采集本底
2019-01-12 13:35:35 采集卡 启动采集
2019-01-12 13:35:36 采集卡 采集完成
2019-01-12 13:35:36 采集卡 转换数据
2019-01-12 13:35:36 PLC 开接收器(AC17)
2019-01-12 13:35:36 PLC 快门开应答成功(AC02)
2019-01-12 13:35:36 PLC 快门打开(S05)
2019-01-12 13:35:38 采集卡 开始采集满度
2019-01-12 13:35:38 采集卡 启动采集
2019-01-12 13:35:38 采集卡 采集完成
2019-01-12 13:35:38 采集卡 转换数据
2019-01-12 13:35:38 采集卡 开始采集图片
2019-01-12 13:35:38 采集卡 启动采集
2019-01-12 13:35:40 采集卡 停止采集
2019-01-12 13:35:40 采集卡 采集完成
2019-01-12 13:35:40 采集卡 转换数据
2019-01-12 13:35:40 采集卡 转换AD
2019-01-12 13:35:40 采集卡 修改点
2019-01-12 13:35:41 采集卡 GAMMA
2019-01-12 13:35:41 采集卡 容积99
2019-01-12 13:35:41 采集卡 反转图像
2019-01-12 13:35:41 采集卡 生成图片数组
2019-01-12 13:35:41 采集卡 图片长度43620
2019-01-12 13:35:42 PLC 快门关应答成功(AC03)
2019-01-12 13:35:42 PLC 快门关闭(S06)
2019-01-12 13:35:42 PLC 自动运行应答成功(AC00)
2019-01-12 13:35:53 PLC 快门开应答成功(AC02)
2019-01-12 13:35:54 PLC 快门关闭(S06)
2019-01-12 13:35:56 PLC 手动运行应答成功(AC01)
2019-01-12 13:35:58 PLC 快门开应答成功(AC02)
2019-01-12 13:35:58 PLC 快门打开(S05)
2019-01-12 13:35:59 采集卡 开始采集图片
2019-01-12 13:35:59 采集卡 启动采集
2019-01-12 13:36:03 采集卡 停止采集
2019-01-12 13:36:03 采集卡 采集完成
2019-01-12 13:36:03 采集卡 转换数据
2019-01-12 13:36:03 采集卡 转换AD
2019-01-12 13:36:03 采集卡 修改点
2019-01-12 13:36:03 采集卡 GAMMA
2019-01-12 13:36:03 采集卡 容积99
2019-01-12 13:36:03 采集卡 反转图像
2019-01-12 13:36:03 采集卡 生成图片数组
2019-01-12 13:36:03 采集卡 图片长度1804
2019-01-12 13:36:11 PLC 快门关应答成功(AC03)
2019-01-12 13:36:12 PLC 快门关闭(S06)
2019-01-12 13:36:16 PLC 手动运行应答成功(AC01)
2019-01-12 13:36:17 PLC 快门开应答成功(AC02)
2019-01-12 13:36:17 PLC 快门打开(S05)
2019-01-12 13:36:20 采集卡 开始采集图片
2019-01-12 13:36:20 采集卡 启动采集
2019-01-12 13:36:25 采集卡 停止采集
2019-01-12 13:36:25 采集卡 采集完成
2019-01-12 13:36:25 采集卡 转换数据
2019-01-12 13:36:25 采集卡 转换AD
2019-01-12 13:36:25 采集卡 修改点
2019-01-12 13:36:25 采集卡 GAMMA
2019-01-12 13:36:25 采集卡 容积99
2019-01-12 13:36:25 采集卡 反转图像
2019-01-12 13:36:25 采集卡 生成图片数组
2019-01-12 13:36:25 采集卡 图片长度1484
2019-01-12 13:36:29 PLC 快门关应答成功(AC03)
2019-01-12 13:36:29 PLC 快门关闭(S06)
2019-01-12 13:36:33 采集卡 开始采集本底
2019-01-12 13:36:33 采集卡 启动采集
2019-01-12 13:36:33 采集卡 采集完成
2019-01-12 13:36:33 采集卡 转换数据
2019-01-12 13:36:41 PLC 快门开应答成功(AC02)
2019-01-12 13:36:41 PLC 快门打开(S05)
2019-01-12 13:36:43 采集卡 开始采集满度
2019-01-12 13:36:43 采集卡 启动采集
2019-01-12 13:36:43 采集卡 采集完成
2019-01-12 13:36:43 采集卡 转换数据
2019-01-12 13:36:51 PLC 手动运行应答成功(AC01)
2019-01-12 13:36:53 PLC 快门开应答成功(AC02)
2019-01-12 13:36:55 采集卡 开始采集满度
2019-01-12 13:36:55 采集卡 启动采集
2019-01-12 13:36:56 采集卡 采集完成
2019-01-12 13:36:56 采集卡 转换数据
2019-01-12 13:37:00 PLC 快门关应答成功(AC03)
2019-01-12 13:37:00 PLC 快门关闭(S06)
2019-01-12 13:37:18 PLC 手动运行应答成功(AC01)
2019-01-12 13:37:18 采集卡 开始采集本底
2019-01-12 13:37:18 采集卡 启动采集
2019-01-12 13:37:19 采集卡 采集完成
2019-01-12 13:37:19 采集卡 转换数据
