2017-12-28 03:37:17 视频 线扫相机初始化成功。
2017-12-28 03:37:17 采集卡 采集卡0初始化成功。
2017-12-28 03:37:17 采集卡 采集卡1初始化成功。
2017-12-28 03:37:17 采集卡 采集卡2初始化成功。
2017-12-28 03:37:17 采集卡 采集卡3初始化成功。
2017-12-28 03:37:17 高压电源 192.168.127.251:高压电源初始化成功
2017-12-28 03:37:17 高压电源 192.168.127.253:高压电源初始化成功
2017-12-28 03:37:17 高压电源 192.168.127.252:高压电源初始化成功
2017-12-28 03:37:17 PLC 手动运行应答成功(AC01)
2017-12-28 03:37:17 PLC PLC始化成功
2017-12-28 03:37:17 上位机 车牌初始化成功
2017-12-28 03:37:26 PLC 关道闸1应答成功(AC05)
2017-12-28 03:37:27 PLC 关道闸2应答成功(AC16)
2017-12-28 03:37:28 高压电源 192.168.127.252打开高压
2017-12-28 03:37:28 高压电源 192.168.127.253打开高压
2017-12-28 03:37:28 高压电源 192.168.127.251打开高压
2017-12-28 03:37:28 高压电源 训机结束
2017-12-28 03:37:28 PLC 手动运行应答成功(AC01)
2017-12-28 03:37:29 采集卡 开始采集本底
2017-12-28 03:37:29 采集卡 启动采集
2017-12-28 03:37:29 采集卡 采集完成
2017-12-28 03:37:29 PLC 快门开应答成功(AC02)
2017-12-28 03:37:29 PLC 快门3打开(S13)
2017-12-28 03:37:31 采集卡 开始采集满度
2017-12-28 03:37:31 采集卡 启动采集
2017-12-28 03:37:31 采集卡 采集完成
2017-12-28 03:37:31 采集卡 开始采集图片
2017-12-28 03:37:31 采集卡 启动采集
2017-12-28 03:37:33 采集卡 停止采集
2017-12-28 03:37:33 采集卡 采集完成
2017-12-28 03:37:34 采集卡 容积99
2017-12-28 03:37:34 采集卡 生成图片数组
2017-12-28 03:37:34 采集卡 图片长度18863
2017-12-28 03:37:34 PLC 快门2打开(S08)
2017-12-28 03:37:34 PLC 快门关应答成功(AC03)
2017-12-28 03:37:34 PLC 快门2关闭(S09)
2017-12-28 03:37:34 PLC 快门关闭(S06)
2017-12-28 03:37:34 PLC 快门3打开(S13)
2017-12-28 03:37:34 PLC 快门2打开(S08)
2017-12-28 03:37:34 PLC 快门3关闭(S14)
2017-12-28 03:37:34 PLC 快门2关闭(S09)
2017-12-28 03:37:34 PLC 自动运行应答成功(AC00)
2017-12-28 03:38:00 采集卡 开始采集图片
2017-12-28 03:38:00 采集卡 启动采集
2017-12-28 03:38:04 PLC 快门开应答成功(AC02)
2017-12-28 03:38:04 PLC 快门3打开(S13)
2017-12-28 03:38:04 PLC 快门2打开(S08)
2017-12-28 03:38:06 PLC 快门关应答成功(AC03)
2017-12-28 03:38:06 PLC 快门2关闭(S09)
2017-12-28 03:38:06 PLC 快门关闭(S06)
2017-12-28 03:38:06 PLC 快门3打开(S13)
2017-12-28 03:38:06 PLC 快门2打开(S08)
2017-12-28 03:38:06 PLC 快门3关闭(S14)
2017-12-28 03:38:06 PLC 快门2关闭(S09)
2017-12-28 03:38:18 PLC 快门开应答成功(AC02)
2017-12-28 03:38:18 PLC 快门3打开(S13)
2017-12-28 03:38:19 PLC 快门关应答成功(AC03)
2017-12-28 03:38:20 PLC 快门2关闭(S09)
2017-12-28 03:38:20 PLC 快门关闭(S06)
2017-12-28 03:38:20 PLC 快门3打开(S13)
2017-12-28 03:38:20 PLC 快门2打开(S08)
2017-12-28 03:38:20 PLC 快门3关闭(S14)
2017-12-28 03:38:20 PLC 快门2关闭(S09)
2017-12-28 03:38:27 PLC 快门开应答成功(AC02)
2017-12-28 03:38:27 PLC 快门3打开(S13)
2017-12-28 03:38:28 PLC 快门关应答成功(AC03)
2017-12-28 03:38:29 PLC 快门2关闭(S09)
2017-12-28 03:38:29 PLC 快门关闭(S06)
2017-12-28 03:38:29 PLC 快门3打开(S13)
2017-12-28 03:38:29 PLC 快门2打开(S08)
2017-12-28 03:38:29 PLC 快门3关闭(S14)
2017-12-28 03:38:29 PLC 快门2关闭(S09)
2017-12-28 03:38:51 采集卡 采集完成
2017-12-28 03:38:57 采集卡 容积98
2017-12-28 03:38:58 采集卡 生成图片数组
2017-12-28 03:39:00 采集卡 图片长度87666
2017-12-28 03:44:10 高压电源 192.168.127.251关闭高压
2017-12-28 03:44:11 高压电源 192.168.127.252关闭高压
2017-12-28 03:44:11 高压电源 192.168.127.253关闭高压
