2019-01-12 13:40:55 上位机 车牌初始化成功
2019-01-12 13:40:55 PLC 手动运行应答成功(AC01)
2019-01-12 13:40:56 PLC PLC始化成功
2019-01-12 13:40:57 采集卡 192.168.1.24初始化成功。
2019-01-12 13:40:57 采集卡 192.168.1.27初始化成功。
2019-01-12 13:40:57 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 13:40:57 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 13:41:03 PLC 关道闸1应答成功(AC05)
2019-01-12 13:41:04 PLC 关道闸2应答成功(AC16)
2019-01-12 13:41:04 高压电源 192.168.127.251打开高压
2019-01-12 13:41:04 高压电源 192.168.127.252打开高压
2019-01-12 13:41:04 高压电源 训机结束
2019-01-12 13:41:04 PLC 手动运行应答成功(AC01)
2019-01-12 13:41:05 PLC 开接收器(AC17)
2019-01-12 13:41:05 采集卡 开始采集本底
2019-01-12 13:41:05 采集卡 启动采集
2019-01-12 13:41:05 采集卡 采集完成
2019-01-12 13:41:05 采集卡 转换数据
2019-01-12 13:41:05 PLC 快门开应答成功(AC02)
2019-01-12 13:41:05 PLC 快门打开(S05)
2019-01-12 13:41:07 采集卡 开始采集满度
2019-01-12 13:41:07 采集卡 启动采集
2019-01-12 13:41:08 采集卡 采集完成
2019-01-12 13:41:08 采集卡 转换数据
2019-01-12 13:41:08 采集卡 开始采集图片
2019-01-12 13:41:08 采集卡 启动采集
2019-01-12 13:41:10 采集卡 停止采集
2019-01-12 13:41:10 采集卡 采集完成
2019-01-12 13:41:10 采集卡 转换数据
2019-01-12 13:41:10 采集卡 转换AD
2019-01-12 13:41:10 采集卡 修改点
2019-01-12 13:41:10 采集卡 GAMMA
2019-01-12 13:41:10 采集卡 容积99
2019-01-12 13:41:10 采集卡 反转图像
2019-01-12 13:41:10 采集卡 生成图片数组
2019-01-12 13:41:10 采集卡 图片长度42044
2019-01-12 13:41:12 PLC 快门关应答成功(AC03)
2019-01-12 13:41:12 PLC 快门关闭(S06)
2019-01-12 13:41:12 PLC 自动运行应答成功(AC00)
2019-01-12 13:41:31 PLC 自动运行应答成功(AC00)
2019-01-12 13:41:34 PLC 手动运行应答成功(AC01)
2019-01-12 13:41:34 采集卡 开始采集本底
2019-01-12 13:41:34 采集卡 启动采集
2019-01-12 13:41:35 采集卡 采集完成
2019-01-12 13:41:35 采集卡 转换数据
2019-01-12 13:41:35 PLC 开接收器(AC17)
2019-01-12 13:41:35 PLC 快门开应答成功(AC02)
2019-01-12 13:41:35 PLC 快门打开(S05)
2019-01-12 13:41:37 采集卡 开始采集满度
2019-01-12 13:41:37 采集卡 启动采集
2019-01-12 13:41:37 采集卡 采集完成
2019-01-12 13:41:37 采集卡 转换数据
2019-01-12 13:41:37 采集卡 开始采集图片
2019-01-12 13:41:37 采集卡 启动采集
2019-01-12 13:41:39 采集卡 停止采集
2019-01-12 13:41:39 采集卡 采集完成
2019-01-12 13:41:39 采集卡 转换数据
2019-01-12 13:41:39 采集卡 转换AD
2019-01-12 13:41:39 采集卡 修改点
2019-01-12 13:41:39 采集卡 GAMMA
2019-01-12 13:41:39 采集卡 容积99
2019-01-12 13:41:39 采集卡 反转图像
2019-01-12 13:41:39 采集卡 生成图片数组
2019-01-12 13:41:39 采集卡 图片长度42408
2019-01-12 13:41:41 PLC 快门关应答成功(AC03)
2019-01-12 13:41:41 PLC 快门关闭(S06)
2019-01-12 13:41:41 PLC 自动运行应答成功(AC00)
2019-01-12 13:42:04 PLC 手动运行应答成功(AC01)
2019-01-12 13:42:05 采集卡 开始采集本底
2019-01-12 13:42:05 采集卡 启动采集
2019-01-12 13:42:05 采集卡 采集完成
2019-01-12 13:42:05 采集卡 转换数据
2019-01-12 13:42:05 PLC 手动运行应答成功(AC01)
2019-01-12 13:42:05 PLC 开接收器(AC17)
2019-01-12 13:42:05 PLC 快门开应答成功(AC02)
2019-01-12 13:42:05 PLC 快门打开(S05)
2019-01-12 13:42:07 采集卡 开始采集满度
2019-01-12 13:42:07 采集卡 启动采集
2019-01-12 13:42:08 采集卡 采集完成
2019-01-12 13:42:08 采集卡 转换数据
2019-01-12 13:42:08 采集卡 开始采集图片
2019-01-12 13:42:08 采集卡 启动采集
2019-01-12 13:42:10 采集卡 停止采集
2019-01-12 13:42:10 采集卡 采集完成
2019-01-12 13:42:10 采集卡 转换数据
2019-01-12 13:42:10 采集卡 转换AD
2019-01-12 13:42:10 采集卡 修改点
2019-01-12 13:42:10 采集卡 GAMMA
2019-01-12 13:42:10 采集卡 容积99
2019-01-12 13:42:10 采集卡 反转图像
2019-01-12 13:42:10 采集卡 生成图片数组
2019-01-12 13:42:10 采集卡 图片长度39803
2019-01-12 13:42:12 PLC 快门关应答成功(AC03)
2019-01-12 13:42:12 PLC 快门关闭(S06)
2019-01-12 13:42:12 PLC 自动运行应答成功(AC00)
2019-01-12 13:42:17 PLC 手动运行应答成功(AC01)
2019-01-12 13:42:18 PLC 开道闸1应答成功(AC04)
2019-01-12 13:42:18 PLC 开道闸2应答成功(AC15)
2019-01-12 13:42:24 高压电源 192.168.127.251关闭高压
2019-01-12 13:42:24 高压电源 192.168.127.252关闭高压
