2019-01-12 13:53:30 上位机 车牌初始化成功
2019-01-12 13:53:30 PLC 手动运行应答成功(AC01)
2019-01-12 13:53:31 PLC 触发线圈1(S01)
2019-01-12 13:53:31 PLC PLC始化成功
2019-01-12 13:53:33 采集卡 192.168.1.24初始化成功。
2019-01-12 13:53:33 采集卡 192.168.1.26初始化成功。
2019-01-12 13:53:33 采集卡 192.168.1.27初始化成功。
2019-01-12 13:53:33 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 13:53:33 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 13:53:41 PLC 手动运行应答成功(AC01)
2019-01-12 13:53:42 PLC 开道闸1应答成功(AC04)
2019-01-12 13:53:42 PLC 开道闸2应答成功(AC15)
2019-01-12 13:53:46 PLC 触发线圈2(S02)
2019-01-12 13:53:49 PLC 触发线圈1(S01)
2019-01-12 13:53:51 PLC 触发线圈2(S02)
2019-01-12 13:53:57 PLC 触发线圈1(S01)
2019-01-12 13:54:02 PLC 触发线圈2(S02)
2019-01-12 13:54:23 PLC 触发线圈1(S01)
2019-01-12 13:55:41 PLC 触发线圈2(S02)
2019-01-12 13:55:45 PLC 触发线圈1(S01)
2019-01-12 13:56:17 PLC 触发线圈2(S02)
2019-01-12 13:56:26 PLC 触发线圈1(S01)
2019-01-12 13:57:28 PLC 触发线圈2(S02)
2019-01-12 13:57:50 PLC 触发线圈1(S01)
2019-01-12 13:57:53 PLC 触发线圈2(S02)
2019-01-12 13:57:54 PLC 触发线圈1(S01)
2019-01-12 13:58:20 PLC 触发线圈2(S02)
2019-01-12 13:58:25 PLC 触发线圈1(S01)
2019-01-12 13:58:51 PLC 触发线圈2(S02)
2019-01-12 13:58:54 PLC 触发线圈1(S01)
2019-01-12 13:59:35 PLC 触发线圈2(S02)
2019-01-12 13:59:41 PLC 触发线圈1(S01)
2019-01-12 14:00:03 PLC 触发线圈2(S02)
2019-01-12 14:00:21 PLC 触发线圈1(S01)
2019-01-12 14:00:25 PLC 触发线圈2(S02)
2019-01-12 14:00:29 PLC 触发线圈1(S01)
2019-01-12 14:01:17 PLC 触发线圈2(S02)
2019-01-12 14:01:19 PLC 触发线圈1(S01)
2019-01-12 14:02:06 PLC 触发线圈2(S02)
2019-01-12 14:02:24 PLC 触发线圈3(S03)
2019-01-12 14:02:31 PLC 关道闸1应答成功(AC05)
2019-01-12 14:02:31 PLC 关道闸2应答成功(AC16)
2019-01-12 14:02:32 高压电源 192.168.127.252打开高压
2019-01-12 14:02:32 高压电源 192.168.127.251打开高压
2019-01-12 14:02:32 高压电源 训机结束
2019-01-12 14:02:32 高压电源 192.168.127.251打开高压
2019-01-12 14:02:32 高压电源 192.168.127.252打开高压
2019-01-12 14:02:32 PLC 手动运行应答成功(AC01)
2019-01-12 14:02:33 PLC 开接收器(AC17)
2019-01-12 14:02:33 PLC 快门开应答成功(AC02)
2019-01-12 14:02:33 PLC 快门打开(S05)
2019-01-12 14:02:35 采集卡 开始采集满度
2019-01-12 14:02:35 采集卡 启动采集
2019-01-12 14:02:35 采集卡 采集完成
2019-01-12 14:02:35 采集卡 转换数据
2019-01-12 14:02:35 PLC 快门关应答成功(AC03)
2019-01-12 14:02:36 PLC 快门关闭(S06)
2019-01-12 14:02:38 采集卡 开始采集本底
2019-01-12 14:02:38 采集卡 启动采集
2019-01-12 14:02:38 采集卡 采集完成
2019-01-12 14:02:38 采集卡 转换数据
2019-01-12 14:02:38 PLC 快门开应答成功(AC02)
2019-01-12 14:02:38 PLC 快门打开(S05)
2019-01-12 14:02:40 采集卡 开始采集图片
2019-01-12 14:02:40 采集卡 启动采集
2019-01-12 14:02:42 采集卡 停止采集
2019-01-12 14:02:42 采集卡 采集完成
2019-01-12 14:02:42 采集卡 转换数据
2019-01-12 14:02:42 采集卡 转换AD
2019-01-12 14:02:42 采集卡 修改点
2019-01-12 14:02:42 采集卡 GAMMA
2019-01-12 14:02:42 采集卡 容积99
2019-01-12 14:02:42 采集卡 反转图像
2019-01-12 14:02:42 采集卡 生成图片数组
2019-01-12 14:02:42 采集卡 图片长度48461
2019-01-12 14:02:44 PLC 触发线圈1(S01)
2019-01-12 14:02:44 PLC 快门关应答成功(AC03)
2019-01-12 14:02:44 PLC 快门关闭(S06)
2019-01-12 14:02:44 PLC 自动运行应答成功(AC00)
2019-01-12 14:03:48 PLC 手动运行应答成功(AC01)
2019-01-12 14:03:50 PLC 开道闸1应答成功(AC04)
2019-01-12 14:03:50 PLC 开道闸2应答成功(AC15)
2019-01-12 14:03:53 高压电源 192.168.127.251关闭高压
2019-01-12 14:03:53 高压电源 192.168.127.252关闭高压
