2019-01-12 15:17:52 上位机 车牌初始化成功
2019-01-12 15:17:52 PLC 手动运行应答成功(AC01)
2019-01-12 15:17:52 PLC PLC始化成功
2019-01-12 15:17:54 采集卡 192.168.1.24初始化成功。
2019-01-12 15:17:54 采集卡 192.168.1.27初始化成功。
2019-01-12 15:17:54 采集卡 192.168.1.26初始化成功。
2019-01-12 15:17:54 高压电源 192.168.127.252:高压电源初始化成功
2019-01-12 15:17:54 高压电源 192.168.127.251:高压电源初始化成功
2019-01-12 15:17:57 PLC 触发线圈1(S01)
2019-01-12 15:18:34 PLC 触发线圈2(S02)
2019-01-12 15:18:57 PLC 触发线圈1(S01)
2019-01-12 15:19:01 PLC 触发线圈2(S02)
2019-01-12 15:19:09 PLC 触发线圈1(S01)
2019-01-12 15:19:28 PLC 触发线圈2(S02)
2019-01-12 15:20:18 PLC 触发线圈3(S03)
2019-01-12 15:20:34 PLC 触发线圈1(S01)
2019-01-12 15:20:36 PLC 触发线圈2(S02)
2019-01-12 15:21:00 PLC 触发线圈1(S01)
2019-01-12 15:21:02 PLC 触发线圈2(S02)
2019-01-12 15:21:43 PLC 触发线圈1(S01)
2019-01-12 15:21:45 PLC 触发线圈2(S02)
2019-01-12 15:22:15 PLC 触发线圈1(S01)
2019-01-12 15:22:19 PLC 触发线圈2(S02)
2019-01-12 15:22:36 PLC 触发线圈1(S01)
2019-01-12 15:22:39 PLC 触发线圈2(S02)
2019-01-12 15:23:06 PLC 触发线圈1(S01)
2019-01-12 15:23:21 PLC 触发线圈2(S02)
2019-01-12 15:24:01 PLC 触发线圈1(S01)
2019-01-12 15:24:03 PLC 触发线圈2(S02)
2019-01-12 15:24:32 PLC 触发线圈1(S01)
2019-01-12 15:24:51 PLC 触发线圈2(S02)
2019-01-12 15:24:55 PLC 触发线圈1(S01)
2019-01-12 15:25:04 PLC 触发线圈2(S02)
2019-01-12 15:25:11 PLC 触发线圈1(S01)
2019-01-12 15:25:37 PLC 触发线圈2(S02)
2019-01-12 15:26:11 PLC 触发线圈1(S01)
2019-01-12 15:26:15 PLC 触发线圈2(S02)
2019-01-12 15:26:56 PLC 触发线圈1(S01)
2019-01-12 15:27:04 PLC 触发线圈2(S02)
2019-01-12 15:27:07 PLC 触发线圈1(S01)
2019-01-12 15:28:00 PLC 触发线圈2(S02)
2019-01-12 15:28:23 PLC 触发线圈1(S01)
2019-01-12 15:28:25 PLC 触发线圈2(S02)
2019-01-12 15:28:36 PLC 触发线圈1(S01)
2019-01-12 15:28:40 PLC 触发线圈2(S02)
2019-01-12 15:28:43 PLC 触发线圈1(S01)
2019-01-12 15:29:11 PLC 触发线圈2(S02)
2019-01-12 15:29:15 PLC 触发线圈1(S01)
2019-01-12 15:29:33 PLC 触发线圈2(S02)
2019-01-12 15:29:55 PLC 触发线圈1(S01)
2019-01-12 15:29:59 PLC 触发线圈2(S02)
2019-01-12 15:30:08 PLC 触发线圈1(S01)
2019-01-12 15:30:32 PLC 触发线圈2(S02)
2019-01-12 15:30:32 PLC 触发线圈1(S01)
2019-01-12 15:31:07 PLC 触发线圈2(S02)
2019-01-12 15:31:09 PLC 触发线圈1(S01)
2019-01-12 15:31:33 PLC 触发线圈2(S02)
2019-01-12 15:31:35 PLC 触发线圈1(S01)
2019-01-12 15:32:04 PLC 触发线圈2(S02)
2019-01-12 15:32:06 PLC 触发线圈1(S01)
2019-01-12 15:32:38 PLC 触发线圈2(S02)
2019-01-12 15:33:16 PLC 触发线圈2(S02)
2019-01-12 15:33:17 PLC 触发线圈1(S01)
2019-01-12 15:33:57 PLC 触发线圈2(S02)
2019-01-12 15:34:20 PLC 触发线圈2(S02)
2019-01-12 15:34:41 PLC 触发线圈2(S02)
2019-01-12 15:34:42 PLC 触发线圈1(S01)
2019-01-12 15:35:24 PLC 触发线圈1(S01)
2019-01-12 15:35:40 PLC 触发线圈2(S02)
2019-01-12 15:35:43 PLC 触发线圈1(S01)
2019-01-12 15:35:59 PLC 触发线圈2(S02)
2019-01-12 15:36:18 PLC 触发线圈1(S01)
2019-01-12 15:36:42 PLC 触发线圈2(S02)
2019-01-12 15:37:06 PLC 触发线圈1(S01)
2019-01-12 15:37:08 PLC 触发线圈2(S02)
2019-01-12 15:37:45 PLC 触发线圈1(S01)
2019-01-12 15:37:47 PLC 触发线圈2(S02)
2019-01-12 15:37:53 PLC 触发线圈1(S01)
2019-01-12 15:39:37 PLC 触发线圈2(S02)
2019-01-12 15:39:48 PLC 触发线圈1(S01)
2019-01-12 15:39:51 PLC 触发线圈2(S02)
2019-01-12 15:40:39 PLC 触发线圈1(S01)
2019-01-12 15:40:46 PLC 触发线圈2(S02)
2019-01-12 15:41:29 PLC 触发线圈1(S01)
2019-01-12 15:41:31 PLC 触发线圈2(S02)
2019-01-12 15:42:15 PLC 触发线圈1(S01)
2019-01-12 15:42:19 PLC 触发线圈2(S02)
2019-01-12 15:43:26 PLC 触发线圈1(S01)
2019-01-12 15:43:30 PLC 触发线圈2(S02)
2019-01-12 15:43:34 PLC 触发线圈1(S01)
2019-01-12 15:43:37 PLC 触发线圈2(S02)
2019-01-12 15:44:04 PLC 触发线圈1(S01)
2019-01-12 15:44:08 PLC 触发线圈2(S02)
2019-01-12 15:44:09 PLC 触发线圈1(S01)
2019-01-12 15:44:38 PLC 触发线圈2(S02)
2019-01-12 15:44:46 PLC 触发线圈1(S01)
2019-01-12 15:44:50 PLC 触发线圈2(S02)
2019-01-12 15:45:33 PLC 触发线圈1(S01)
2019-01-12 15:45:36 PLC 触发线圈2(S02)
2019-01-12 15:46:18 PLC 触发线圈1(S01)
2019-01-12 15:46:21 PLC 触发线圈2(S02)
2019-01-12 15:46:24 PLC 触发线圈1(S01)
2019-01-12 15:46:33 PLC 触发线圈2(S02)
2019-01-12 15:46:40 PLC 触发线圈1(S01)
2019-01-12 15:47:49 PLC 触发线圈2(S02)
2019-01-12 15:47:52 PLC 触发线圈1(S01)
2019-01-12 15:48:31 PLC 触发线圈2(S02)
2019-01-12 15:48:34 PLC 触发线圈1(S01)
2019-01-12 15:48:56 PLC 触发线圈2(S02)
2019-01-12 15:49:02 PLC 触发线圈1(S01)
2019-01-12 15:49:27 PLC 触发线圈2(S02)
2019-01-12 15:49:33 PLC 触发线圈1(S01)
2019-01-12 15:50:20 PLC 触发线圈2(S02)
2019-01-12 15:50:23 PLC 触发线圈1(S01)
2019-01-12 15:50:43 PLC 触发线圈2(S02)
2019-01-12 15:50:47 PLC 触发线圈1(S01)
2019-01-12 15:51:13 PLC 触发线圈2(S02)
2019-01-12 15:51:21 PLC 触发线圈1(S01)
2019-01-12 15:51:32 PLC 触发线圈2(S02)
2019-01-12 15:51:38 PLC 触发线圈1(S01)
2019-01-12 15:52:13 PLC 触发线圈2(S02)
2019-01-12 15:52:39 PLC 触发线圈1(S01)
2019-01-12 15:52:43 PLC 触发线圈2(S02)
2019-01-12 15:52:50 PLC 触发线圈1(S01)
2019-01-12 15:53:28 PLC 触发线圈2(S02)
2019-01-12 15:54:09 PLC 触发线圈1(S01)
2019-01-12 15:54:49 PLC 触发线圈2(S02)
2019-01-12 15:54:53 PLC 触发线圈1(S01)
2019-01-12 15:54:56 PLC 触发线圈2(S02)
2019-01-12 15:55:40 PLC 触发线圈1(S01)
2019-01-12 15:55:43 PLC 触发线圈2(S02)
2019-01-12 15:55:48 PLC 触发线圈1(S01)
2019-01-12 15:56:19 PLC 触发线圈2(S02)
2019-01-12 15:56:23 PLC 触发线圈1(S01)
2019-01-12 15:56:58 PLC 触发线圈2(S02)
2019-01-12 15:57:27 PLC 触发线圈1(S01)
2019-01-12 15:57:33 PLC 触发线圈2(S02)
2019-01-12 15:58:11 PLC 触发线圈1(S01)
2019-01-12 15:58:46 PLC 触发线圈2(S02)
2019-01-12 15:59:18 PLC 触发线圈1(S01)
2019-01-12 15:59:22 PLC 触发线圈2(S02)
2019-01-12 15:59:29 PLC 触发线圈1(S01)
2019-01-12 15:59:32 PLC 触发线圈2(S02)
2019-01-12 16:00:21 PLC 触发线圈1(S01)
2019-01-12 16:00:23 PLC 触发线圈2(S02)
2019-01-12 16:01:09 PLC 触发线圈1(S01)
2019-01-12 16:04:22 PLC 触发线圈2(S02)
2019-01-12 16:04:32 PLC 触发线圈1(S01)
2019-01-12 16:05:04 PLC 触发线圈2(S02)
2019-01-12 16:05:07 PLC 触发线圈1(S01)
2019-01-12 16:05:43 PLC 触发线圈2(S02)
2019-01-12 16:05:47 PLC 触发线圈1(S01)
2019-01-12 16:06:07 PLC 触发线圈2(S02)
2019-01-12 16:06:12 PLC 触发线圈1(S01)
2019-01-12 16:06:17 PLC 触发线圈2(S02)
2019-01-12 16:06:57 PLC 触发线圈1(S01)
2019-01-12 16:07:02 PLC 触发线圈2(S02)
2019-01-12 16:07:53 PLC 触发线圈1(S01)
2019-01-12 16:07:54 PLC 触发线圈2(S02)
2019-01-12 16:08:08 PLC 触发线圈1(S01)
2019-01-12 16:08:26 PLC 触发线圈2(S02)
2019-01-12 16:08:57 PLC 触发线圈1(S01)
2019-01-12 16:09:00 PLC 触发线圈2(S02)
2019-01-12 16:09:44 PLC 触发线圈1(S01)
2019-01-12 16:09:46 PLC 触发线圈2(S02)
2019-01-12 16:10:05 PLC 触发线圈1(S01)
2019-01-12 16:10:18 PLC 触发线圈2(S02)
2019-01-12 16:10:23 PLC 触发线圈1(S01)
2019-01-12 16:10:55 PLC 触发线圈2(S02)
2019-01-12 16:10:58 PLC 触发线圈1(S01)
2019-01-12 16:11:00 PLC 触发线圈2(S02)
2019-01-12 16:11:26 PLC 触发线圈1(S01)
2019-01-12 16:11:27 PLC 触发线圈2(S02)
2019-01-12 16:11:33 PLC 触发线圈1(S01)
2019-01-12 16:11:57 PLC 触发线圈2(S02)
2019-01-12 16:12:01 PLC 触发线圈1(S01)
2019-01-12 16:12:29 PLC 触发线圈2(S02)
2019-01-12 16:12:51 PLC 触发线圈1(S01)
2019-01-12 16:13:13 PLC 触发线圈2(S02)
2019-01-12 16:13:19 PLC 触发线圈1(S01)
