2017-12-29 02:20:31 视频 线扫相机初始化成功。
2017-12-29 02:20:32 采集卡 采集卡0初始化成功。
2017-12-29 02:20:32 采集卡 采集卡1初始化成功。
2017-12-29 02:20:32 采集卡 采集卡2初始化成功。
2017-12-29 02:20:32 采集卡 采集卡3初始化成功。
2017-12-29 02:20:32 高压电源 192.168.127.251:高压电源初始化成功
2017-12-29 02:20:32 PLC 手动运行应答成功(AC01)
2017-12-29 02:20:32 PLC PLC始化成功
2017-12-29 02:20:32 上位机 车牌初始化成功
2017-12-29 02:20:51 采集卡 开始采集满度
2017-12-29 02:20:51 采集卡 启动采集
2017-12-29 02:20:52 采集卡 采集完成
2017-12-29 02:20:52 采集卡 转换数据
2017-12-29 02:22:56 高压电源 设置电压150V
2017-12-29 02:22:56 高压电源 设置电流1mA
2017-12-29 02:22:59 高压电源 192.168.127.251打开高压
2017-12-29 02:23:01 PLC 快门开应答成功(AC02)
2017-12-29 02:23:01 PLC 快门3打开(S13)
2017-12-29 02:23:01 PLC 快门2打开(S08)
2017-12-29 02:23:02 采集卡 开始采集满度
2017-12-29 02:23:02 采集卡 启动采集
2017-12-29 02:23:02 采集卡 采集完成
2017-12-29 02:23:03 采集卡 转换数据
2017-12-29 02:23:04 PLC 快门关应答成功(AC03)
2017-12-29 02:23:04 PLC 快门2关闭(S09)
2017-12-29 02:23:04 PLC 快门关闭(S06)
2017-12-29 02:23:04 PLC 快门3打开(S13)
2017-12-29 02:23:04 PLC 快门2打开(S08)
2017-12-29 02:23:04 PLC 快门3关闭(S14)
2017-12-29 02:23:04 PLC 快门2关闭(S09)
2017-12-29 02:23:05 采集卡 开始采集本底
2017-12-29 02:23:05 采集卡 启动采集
2017-12-29 02:23:05 采集卡 采集完成
2017-12-29 02:23:05 采集卡 转换数据
2017-12-29 02:23:10 高压电源 192.168.127.251关闭高压
2017-12-29 02:24:15 高压电源 192.168.127.251打开高压
2017-12-29 02:24:18 PLC 快门开应答成功(AC02)
2017-12-29 02:24:18 PLC 快门3打开(S13)
2017-12-29 02:24:18 PLC 快门打开(S05)
2017-12-29 02:24:20 采集卡 开始采集满度
2017-12-29 02:24:20 采集卡 启动采集
2017-12-29 02:24:20 采集卡 采集完成
2017-12-29 02:24:20 采集卡 转换数据
2017-12-29 02:24:23 采集卡 开始采集图片
2017-12-29 02:24:23 采集卡 启动采集
2017-12-29 02:24:24 采集卡 停止采集
2017-12-29 02:24:24 采集卡 采集完成
2017-12-29 02:24:24 采集卡 转换数据
2017-12-29 02:24:24 采集卡 转换AD
2017-12-29 02:24:24 采集卡 修改点
2017-12-29 02:24:24 采集卡 GAMMA
2017-12-29 02:24:24 采集卡 容积11
2017-12-29 02:24:24 采集卡 反转图像
2017-12-29 02:24:24 采集卡 生成图片数组
2017-12-29 02:24:24 采集卡 图片长度63918
2017-12-29 02:24:39 PLC 快门2关闭(S09)
2017-12-29 02:24:39 PLC 快门关闭(S06)
2017-12-29 02:24:39 PLC 快门3打开(S13)
2017-12-29 02:24:39 PLC 快门2打开(S08)
2017-12-29 02:24:39 PLC 快门3关闭(S14)
2017-12-29 02:24:39 PLC 快门2关闭(S09)
2017-12-29 02:25:13 PLC 快门开应答成功(AC02)
2017-12-29 02:25:13 PLC 快门3打开(S13)
2017-12-29 02:25:13 PLC 快门2打开(S08)
2017-12-29 02:25:14 采集卡 开始采集图片
2017-12-29 02:25:14 采集卡 启动采集
2017-12-29 02:25:14 采集卡 停止采集
2017-12-29 02:25:14 采集卡 采集完成
2017-12-29 02:25:14 采集卡 转换数据
2017-12-29 02:25:30 采集卡 转换AD
2017-12-29 02:25:30 采集卡 修改点
2017-12-29 02:25:30 采集卡 GAMMA
2017-12-29 02:25:30 采集卡 容积10
2017-12-29 02:25:30 采集卡 反转图像
2017-12-29 02:25:30 采集卡 生成图片数组
2017-12-29 02:25:30 采集卡 图片长度61667
2017-12-29 02:25:34 PLC 快门2关闭(S09)
2017-12-29 02:25:34 PLC 快门关闭(S06)
2017-12-29 02:25:34 PLC 快门3打开(S13)
2017-12-29 02:25:34 PLC 快门2打开(S08)
2017-12-29 02:25:34 PLC 快门3关闭(S14)
2017-12-29 02:25:34 PLC 快门2关闭(S09)
2017-12-29 02:28:15 高压电源 192.168.127.251打开高压
2017-12-29 02:28:20 PLC 快门开应答成功(AC02)
2017-12-29 02:28:20 PLC 快门3打开(S13)
2017-12-29 02:28:20 PLC 快门2打开(S08)
2017-12-29 02:28:21 采集卡 开始采集本底
2017-12-29 02:28:21 采集卡 启动采集
2017-12-29 02:28:22 采集卡 采集完成
2017-12-29 02:28:22 采集卡 转换数据
2017-12-29 02:28:26 采集卡 开始采集本底
2017-12-29 02:28:26 采集卡 启动采集
2017-12-29 02:28:27 采集卡 采集完成
2017-12-29 02:28:27 采集卡 转换数据
2017-12-29 02:28:31 采集卡 开始采集本底
2017-12-29 02:28:31 采集卡 启动采集
2017-12-29 02:28:31 采集卡 采集完成
2017-12-29 02:28:31 采集卡 转换数据
2017-12-29 02:28:37 采集卡 开始采集本底
2017-12-29 02:28:37 采集卡 启动采集
2017-12-29 02:28:37 采集卡 采集完成
2017-12-29 02:28:37 采集卡 转换数据
2017-12-29 02:28:41 PLC 快门2关闭(S09)
2017-12-29 02:28:41 PLC 快门关闭(S06)
2017-12-29 02:28:41 PLC 快门3打开(S13)
2017-12-29 02:28:41 PLC 快门2打开(S08)
2017-12-29 02:28:41 PLC 快门3关闭(S14)
