2019-06-21 14:40:53 上位机 车牌初始化成功
2019-06-21 14:40:53 PLC 手动运行应答成功(AC01)
2019-06-21 14:40:53 PLC PLC始化成功
2019-06-21 14:40:55 采集卡 192.168.1.32初始化成功。
2019-06-21 14:40:55 采集卡 192.168.1.34初始化成功。
2019-06-21 14:40:55 采集卡 192.168.1.33初始化成功。
2019-06-21 14:40:55 采集卡 192.168.1.35初始化成功。
2019-06-21 14:40:55 采集卡 192.168.1.36初始化成功。
2019-06-21 14:40:55 采集卡 192.168.1.37初始化成功。
2019-06-21 14:40:55 高压电源 192.168.127.251:高压电源初始化成功
2019-06-21 14:40:55 高压电源 192.168.127.252:高压电源初始化成功
2019-06-21 14:40:55 高压电源 192.168.127.253:高压电源初始化成功
2019-06-21 14:41:12 高压电源 设置电压120V
2019-06-21 14:41:14 高压电源 设置电流1mA
2019-06-21 14:41:17 高压电源 192.168.127.251打开高压
2019-06-21 14:41:26 采集卡 开始采集满度
2019-06-21 14:41:26 采集卡 启动采集
2019-06-21 14:41:27 采集卡 采集完成
2019-06-21 14:41:27 采集卡 转换数据
2019-06-21 14:41:40 高压电源 192.168.127.251关闭高压
2019-06-21 14:41:45 高压电源 设置电压120V
2019-06-21 14:41:46 高压电源 设置电流1mA
2019-06-21 14:41:47 高压电源 192.168.127.252打开高压
2019-06-21 14:41:52 采集卡 开始采集满度
2019-06-21 14:41:52 采集卡 启动采集
2019-06-21 14:41:52 采集卡 采集完成
2019-06-21 14:41:52 采集卡 转换数据
2019-06-21 14:42:10 高压电源 192.168.127.252关闭高压
2019-06-21 14:42:17 高压电源 设置电压120V
2019-06-21 14:42:18 高压电源 设置电流1mA
2019-06-21 14:42:19 高压电源 192.168.127.253打开高压
2019-06-21 14:42:21 采集卡 开始采集满度
2019-06-21 14:42:21 采集卡 启动采集
2019-06-21 14:42:21 采集卡 采集完成
2019-06-21 14:42:21 采集卡 转换数据
2019-06-21 14:42:30 高压电源 192.168.127.253关闭高压
2019-06-21 14:42:35 高压电源 192.168.127.252打开高压
2019-06-21 14:42:40 采集卡 开始采集满度
2019-06-21 14:42:40 采集卡 启动采集
2019-06-21 14:42:40 采集卡 采集完成
2019-06-21 14:42:40 采集卡 转换数据
2019-06-21 14:43:18 高压电源 192.168.127.252关闭高压
2019-06-21 14:46:05 高压电源 192.168.127.252打开高压
2019-06-21 14:46:07 采集卡 开始采集满度
2019-06-21 14:46:07 采集卡 启动采集
2019-06-21 14:46:08 采集卡 采集完成
2019-06-21 14:46:08 采集卡 转换数据
2019-06-21 14:46:12 高压电源 设置电压120V
2019-06-21 14:46:13 高压电源 设置电流1mA
2019-06-21 14:46:18 高压电源 设置电流1mA
2019-06-21 14:46:22 高压电源 192.168.127.252清除报警
2019-06-21 14:46:25 高压电源 设置电压120V
2019-06-21 14:46:26 高压电源 设置电流1mA
2019-06-21 14:46:29 高压电源 192.168.127.252打开高压
2019-06-21 14:46:31 采集卡 开始采集满度
2019-06-21 14:46:31 采集卡 启动采集
2019-06-21 14:46:32 采集卡 采集完成
2019-06-21 14:46:32 采集卡 转换数据
2019-06-21 14:47:23 高压电源 192.168.127.252关闭高压
2019-06-21 14:50:39 高压电源 设置电压120V
2019-06-21 14:50:40 高压电源 设置电流1mA
2019-06-21 14:50:42 高压电源 192.168.127.252打开高压
2019-06-21 14:50:50 采集卡 开始采集满度
2019-06-21 14:50:50 采集卡 启动采集
2019-06-21 14:50:50 采集卡 采集完成
2019-06-21 14:50:50 采集卡 转换数据
2019-06-21 14:51:11 高压电源 192.168.127.252关闭高压
2019-06-21 14:54:24 PLC 触发线圈3(S03)
2019-06-21 14:55:30 高压电源 设置电压120V
2019-06-21 14:55:30 高压电源 设置电流1mA
2019-06-21 14:55:33 高压电源 192.168.127.252打开高压
2019-06-21 14:55:34 采集卡 开始采集满度
2019-06-21 14:55:34 采集卡 启动采集
2019-06-21 14:55:35 采集卡 采集完成
2019-06-21 14:55:35 采集卡 转换数据
2019-06-21 14:55:48 高压电源 192.168.127.252关闭高压
2019-06-21 14:56:01 高压电源 192.168.127.252关闭高压
2019-06-21 14:56:49 高压电源 192.168.127.252打开高压
2019-06-21 14:56:53 采集卡 开始采集满度
2019-06-21 14:56:53 采集卡 启动采集
2019-06-21 14:56:53 采集卡 采集完成
2019-06-21 14:56:53 采集卡 转换数据
2019-06-21 14:57:00 高压电源 192.168.127.252关闭高压
2019-06-21 15:01:25 高压电源 设置电压120V
2019-06-21 15:01:25 高压电源 设置电流1mA
2019-06-21 15:01:28 高压电源 192.168.127.252打开高压
2019-06-21 15:01:30 采集卡 开始采集满度
2019-06-21 15:01:30 采集卡 启动采集
2019-06-21 15:01:30 采集卡 采集完成
2019-06-21 15:01:30 采集卡 转换数据
2019-06-21 15:01:59 高压电源 192.168.127.252关闭高压
2019-06-21 15:02:06 高压电源 设置电压120V
2019-06-21 15:02:07 高压电源 设置电流1mA
2019-06-21 15:02:08 高压电源 192.168.127.253打开高压
2019-06-21 15:02:10 采集卡 开始采集满度
2019-06-21 15:02:10 采集卡 启动采集
2019-06-21 15:02:10 采集卡 采集完成
2019-06-21 15:02:10 采集卡 转换数据
2019-06-21 15:02:18 高压电源 192.168.127.253关闭高压
2019-06-21 15:06:56 PLC 触发线圈3(S03)
2019-06-21 15:12:40 高压电源 设置电压120V
2019-06-21 15:12:41 高压电源 设置电流1mA
2019-06-21 15:12:43 高压电源 192.168.127.253打开高压
2019-06-21 15:12:44 采集卡 开始采集满度
2019-06-21 15:12:44 采集卡 启动采集
2019-06-21 15:13:09 采集卡 开始采集满度
2019-06-21 15:13:09 采集卡 启动采集
2019-06-21 15:13:19 高压电源 192.168.127.253关闭高压
2019-06-21 15:13:29 高压电源 192.168.127.253打开高压
2019-06-21 15:13:33 采集卡 开始采集满度
2019-06-21 15:13:33 采集卡 启动采集
2019-06-21 15:14:06 高压电源 设置电压120V
2019-06-21 15:14:07 高压电源 设置电流1mA
2019-06-21 15:14:08 高压电源 192.168.127.253打开高压
2019-06-21 15:14:12 采集卡 开始采集满度
2019-06-21 15:14:12 采集卡 启动采集
2019-06-21 15:14:42 PLC 开道闸2应答成功(AC15)
2019-06-21 15:14:42 高压电源 192.168.127.253关闭高压
2019-06-21 15:18:02 采集卡 192.168.1.35初始化成功。
2019-06-21 15:18:02 采集卡 192.168.1.33初始化成功。
2019-06-21 15:18:02 采集卡 192.168.1.34初始化成功。
2019-06-21 15:18:02 采集卡 192.168.1.32初始化成功。
2019-06-21 15:18:02 采集卡 192.168.1.37初始化成功。
2019-06-21 15:19:24 高压电源 设置电压120V
2019-06-21 15:19:24 高压电源 设置电流1mA
2019-06-21 15:19:26 高压电源 192.168.127.253打开高压
2019-06-21 15:19:28 采集卡 开始采集满度
2019-06-21 15:19:28 采集卡 启动采集
2019-06-21 15:19:28 采集卡 采集完成
2019-06-21 15:19:28 采集卡 转换数据
2019-06-21 15:19:49 高压电源 192.168.127.253关闭高压
2019-06-21 15:22:07 高压电源 192.168.127.253打开高压
2019-06-21 15:22:11 采集卡 开始采集满度
2019-06-21 15:22:11 采集卡 启动采集
2019-06-21 15:22:11 采集卡 采集完成
2019-06-21 15:22:11 采集卡 转换数据
2019-06-21 15:22:21 采集卡 开始采集满度
2019-06-21 15:22:21 采集卡 启动采集
2019-06-21 15:22:21 采集卡 采集完成
2019-06-21 15:22:21 采集卡 转换数据
2019-06-21 15:22:36 高压电源 192.168.127.253关闭高压
2019-06-21 15:24:21 高压电源 192.168.127.253打开高压
2019-06-21 15:24:23 采集卡 开始采集满度
2019-06-21 15:24:23 采集卡 启动采集
2019-06-21 15:24:23 采集卡 采集完成
2019-06-21 15:24:23 采集卡 转换数据
2019-06-21 15:24:30 采集卡 开始采集满度
2019-06-21 15:24:30 采集卡 启动采集
2019-06-21 15:24:31 采集卡 采集完成
2019-06-21 15:24:31 采集卡 转换数据
2019-06-21 15:24:44 高压电源 192.168.127.253关闭高压
2019-06-21 15:26:29 高压电源 192.168.127.253打开高压
2019-06-21 15:26:31 采集卡 开始采集满度
2019-06-21 15:26:31 采集卡 启动采集
2019-06-21 15:26:32 采集卡 采集完成
2019-06-21 15:26:32 采集卡 转换数据
2019-06-21 15:26:40 高压电源 192.168.127.253打开高压
2019-06-21 15:26:41 采集卡 开始采集满度
2019-06-21 15:26:41 采集卡 启动采集
2019-06-21 15:26:42 采集卡 采集完成
2019-06-21 15:26:42 采集卡 转换数据
2019-06-21 15:26:52 高压电源 192.168.127.253关闭高压
2019-06-21 15:28:57 高压电源 192.168.127.253打开高压
2019-06-21 15:28:59 采集卡 开始采集满度
2019-06-21 15:28:59 采集卡 启动采集
2019-06-21 15:28:59 采集卡 采集完成
2019-06-21 15:28:59 采集卡 转换数据
2019-06-21 15:29:34 高压电源 192.168.127.251打开高压
2019-06-21 15:29:34 高压电源 192.168.127.252打开高压
2019-06-21 15:29:34 高压电源 192.168.127.253打开高压
2019-06-21 15:29:34 PLC 手动运行应答成功(AC01)
2019-06-21 15:29:36 PLC 开接收器(AC17)
2019-06-21 15:29:36 PLC 快门开应答成功(AC02)
2019-06-21 15:29:36 PLC 快门打开(S05)
2019-06-21 15:29:38 采集卡 开始采集满度
2019-06-21 15:29:38 采集卡 启动采集
2019-06-21 15:29:38 采集卡 采集完成
2019-06-21 15:29:38 采集卡 转换数据
2019-06-21 15:29:38 PLC 快门关应答成功(AC03)
2019-06-21 15:29:38 PLC 快门关闭(S06)
2019-06-21 15:29:40 高压电源 192.168.127.251关闭高压
2019-06-21 15:29:40 高压电源 192.168.127.252关闭高压
2019-06-21 15:29:41 高压电源 192.168.127.253关闭高压
2019-06-21 15:29:41 采集卡 开始采集本底
2019-06-21 15:29:41 采集卡 启动采集
2019-06-21 15:29:42 采集卡 采集完成
2019-06-21 15:29:42 采集卡 转换数据
2019-06-21 15:29:42 高压电源 192.168.127.251打开高压
2019-06-21 15:29:42 高压电源 192.168.127.252打开高压
2019-06-21 15:29:42 高压电源 192.168.127.253打开高压
2019-06-21 15:29:43 PLC 快门开应答成功(AC02)
2019-06-21 15:29:43 PLC 快门打开(S05)
2019-06-21 15:29:45 采集卡 开始采集图片
