2017-12-29 02:00:55 视频 线扫相机初始化成功。
2017-12-29 02:00:55 采集卡 采集卡0初始化成功。
2017-12-29 02:00:55 采集卡 采集卡1初始化成功。
2017-12-29 02:00:55 采集卡 采集卡2初始化成功。
2017-12-29 02:00:55 采集卡 采集卡3初始化成功。
2017-12-29 02:00:55 高压电源 192.168.127.251:高压电源初始化成功
2017-12-29 02:00:55 PLC 手动运行应答成功(AC01)
2017-12-29 02:00:55 PLC PLC始化成功
2017-12-29 02:00:55 上位机 车牌初始化成功
2017-12-29 02:01:05 高压电源 设置电流1mA
2017-12-29 02:01:06 高压电源 设置电压150V
2017-12-29 02:01:07 高压电源 192.168.127.251打开高压
2017-12-29 02:01:11 采集卡 开始采集本底
2017-12-29 02:01:11 采集卡 启动采集
2017-12-29 02:01:11 采集卡 采集完成
2017-12-29 02:01:11 采集卡 转换数据
2017-12-29 02:01:14 PLC 快门开应答成功(AC02)
2017-12-29 02:01:14 PLC 快门3打开(S13)
2017-12-29 02:01:14 PLC 快门2打开(S08)
2017-12-29 02:01:16 采集卡 开始采集满度
2017-12-29 02:01:16 采集卡 启动采集
2017-12-29 02:01:17 采集卡 采集完成
2017-12-29 02:01:17 采集卡 转换数据
2017-12-29 02:01:24 采集卡 开始采集图片
2017-12-29 02:01:24 采集卡 启动采集
2017-12-29 02:01:25 采集卡 停止采集
2017-12-29 02:01:25 采集卡 采集完成
2017-12-29 02:01:25 采集卡 转换数据
2017-12-29 02:01:25 采集卡 转换AD
2017-12-29 02:01:25 采集卡 修改点
2017-12-29 02:01:25 采集卡 GAMMA
2017-12-29 02:01:25 采集卡 容积74
2017-12-29 02:01:25 采集卡 反转图像
2017-12-29 02:01:25 采集卡 生成图片数组
2017-12-29 02:01:25 采集卡 图片长度78345
2017-12-29 02:01:35 PLC 快门2关闭(S09)
2017-12-29 02:01:35 PLC 快门关闭(S06)
2017-12-29 02:01:35 PLC 快门3打开(S13)
2017-12-29 02:01:35 PLC 快门2打开(S08)
2017-12-29 02:01:35 PLC 快门3关闭(S14)
2017-12-29 02:01:35 PLC 快门2关闭(S09)
2017-12-29 02:02:26 PLC 快门开应答成功(AC02)
2017-12-29 02:02:26 PLC 快门3打开(S13)
2017-12-29 02:02:27 采集卡 开始采集图片
2017-12-29 02:02:27 采集卡 启动采集
2017-12-29 02:02:28 采集卡 采集完成
2017-12-29 02:02:28 采集卡 停止采集
2017-12-29 02:02:28 采集卡 转换数据
2017-12-29 02:03:25 PLC 快门2关闭(S09)
2017-12-29 02:03:28 PLC 快门关闭(S06)
2017-12-29 02:05:30 PLC 快门3打开(S13)
2017-12-29 02:05:33 PLC 快门2打开(S08)
2017-12-29 02:05:33 PLC 快门3关闭(S14)
2017-12-29 02:05:33 PLC 快门2关闭(S09)
2017-12-29 02:05:37 采集卡 转换AD
2017-12-29 02:05:37 采集卡 修改点
2017-12-29 02:05:37 采集卡 GAMMA
2017-12-29 02:05:37 采集卡 容积73
2017-12-29 02:05:37 采集卡 反转图像
2017-12-29 02:05:37 采集卡 生成图片数组
2017-12-29 02:05:37 采集卡 图片长度77474
2017-12-29 02:06:50 高压电源 192.168.127.251打开高压
2017-12-29 02:06:54 PLC 快门开应答成功(AC02)
2017-12-29 02:06:55 PLC 快门3打开(S13)
2017-12-29 02:06:55 PLC 快门打开(S05)
2017-12-29 02:06:55 采集卡 开始采集图片
2017-12-29 02:06:55 采集卡 启动采集
2017-12-29 02:06:56 采集卡 停止采集
2017-12-29 02:06:56 采集卡 采集完成
2017-12-29 02:06:56 采集卡 转换数据
2017-12-29 02:06:56 采集卡 转换AD
2017-12-29 02:06:56 采集卡 修改点
2017-12-29 02:06:56 采集卡 GAMMA
2017-12-29 02:06:56 采集卡 容积8
2017-12-29 02:06:57 采集卡 反转图像
2017-12-29 02:06:57 采集卡 生成图片数组
2017-12-29 02:06:57 采集卡 图片长度59992
2017-12-29 02:06:59 PLC 快门关应答成功(AC03)
2017-12-29 02:06:59 PLC 快门2关闭(S09)
2017-12-29 02:06:59 PLC 快门关闭(S06)
2017-12-29 02:06:59 PLC 快门3打开(S13)
2017-12-29 02:06:59 PLC 快门2打开(S08)
2017-12-29 02:06:59 PLC 快门3关闭(S14)
2017-12-29 02:06:59 PLC 快门2关闭(S09)
2017-12-29 02:14:58 高压电源 192.168.127.251关闭高压
