2017-12-29 02:41:31 视频 线扫相机初始化成功。
2017-12-29 02:41:31 采集卡 采集卡0初始化成功。
2017-12-29 02:41:31 采集卡 采集卡1初始化成功。
2017-12-29 02:41:31 采集卡 采集卡2初始化成功。
2017-12-29 02:41:31 采集卡 采集卡3初始化成功。
2017-12-29 02:41:31 高压电源 192.168.127.251:高压电源初始化成功
2017-12-29 02:41:31 PLC 手动运行应答成功(AC01)
2017-12-29 02:41:31 PLC PLC始化成功
2017-12-29 02:41:31 上位机 车牌初始化成功
2017-12-29 02:41:33 PLC 关道闸1应答成功(AC05)
2017-12-29 02:41:34 PLC 关道闸2应答成功(AC16)
2017-12-29 02:41:35 高压电源 192.168.127.251打开高压
2017-12-29 02:41:35 高压电源 训机结束
2017-12-29 02:41:35 PLC 手动运行应答成功(AC01)
2017-12-29 02:41:35 采集卡 开始采集本底
2017-12-29 02:41:35 采集卡 启动采集
2017-12-29 02:41:35 采集卡 采集完成
2017-12-29 02:41:35 采集卡 转换数据
2017-12-29 02:41:35 PLC 快门开应答成功(AC02)
2017-12-29 02:41:36 PLC 快门3打开(S13)
2017-12-29 02:41:38 采集卡 开始采集满度
2017-12-29 02:41:38 采集卡 启动采集
2017-12-29 02:41:38 采集卡 采集完成
2017-12-29 02:41:38 采集卡 转换数据
2017-12-29 02:41:38 采集卡 开始采集图片
2017-12-29 02:41:38 采集卡 启动采集
2017-12-29 02:41:40 采集卡 停止采集
2017-12-29 02:41:40 采集卡 采集完成
2017-12-29 02:41:40 采集卡 转换数据
2017-12-29 02:41:40 采集卡 转换AD
2017-12-29 02:41:40 采集卡 修改点
2017-12-29 02:41:40 采集卡 GAMMA
2017-12-29 02:41:40 采集卡 容积86
2017-12-29 02:41:40 采集卡 反转图像
2017-12-29 02:41:40 采集卡 生成图片数组
2017-12-29 02:41:40 采集卡 图片长度66821
2017-12-29 02:41:41 PLC 快门关应答成功(AC03)
2017-12-29 02:41:41 PLC 快门2关闭(S09)
2017-12-29 02:41:41 PLC 快门关闭(S06)
2017-12-29 02:41:41 PLC 快门3打开(S13)
2017-12-29 02:41:41 PLC 快门2打开(S08)
2017-12-29 02:41:41 PLC 快门3关闭(S14)
2017-12-29 02:41:41 PLC 快门2关闭(S09)
2017-12-29 02:41:41 PLC 自动运行应答成功(AC00)
2017-12-29 02:42:21 采集卡 开始采集图片
2017-12-29 02:42:21 采集卡 启动采集
2017-12-29 02:42:22 采集卡 采集完成
2017-12-29 02:42:22 采集卡 停止采集
2017-12-29 02:42:22 采集卡 转换数据
2017-12-29 02:42:22 采集卡 转换AD
2017-12-29 02:42:22 采集卡 修改点
2017-12-29 02:42:22 采集卡 GAMMA
2017-12-29 02:42:22 采集卡 容积94
2017-12-29 02:42:22 采集卡 反转图像
2017-12-29 02:42:22 采集卡 生成图片数组
2017-12-29 02:42:22 采集卡 图片长度68541
2017-12-29 02:42:25 采集卡 开始采集图片
2017-12-29 02:42:25 采集卡 启动采集
2017-12-29 02:42:26 采集卡 停止采集
2017-12-29 02:42:26 采集卡 转换数据
2017-12-29 02:42:26 采集卡 转换AD
2017-12-29 02:42:26 采集卡 修改点
2017-12-29 02:42:26 采集卡 GAMMA
2017-12-29 02:42:26 采集卡 容积93
2017-12-29 02:42:26 采集卡 反转图像
2017-12-29 02:42:26 采集卡 生成图片数组
2017-12-29 02:42:26 采集卡 图片长度68768
2017-12-29 02:42:43 高压电源 设置电压180V
2017-12-29 02:42:44 高压电源 设置电流1.5mA
2017-12-29 02:42:49 PLC 快门开应答成功(AC02)
2017-12-29 02:42:50 PLC 快门3打开(S13)
2017-12-29 02:42:50 PLC 快门2打开(S08)
2017-12-29 02:42:51 采集卡 开始采集图片
2017-12-29 02:42:51 采集卡 启动采集
2017-12-29 02:42:52 采集卡 采集完成
2017-12-29 02:42:52 采集卡 停止采集
2017-12-29 02:42:52 采集卡 转换数据
2017-12-29 02:42:52 采集卡 转换AD
2017-12-29 02:42:52 采集卡 修改点
2017-12-29 02:42:52 采集卡 GAMMA
2017-12-29 02:42:52 采集卡 容积90
2017-12-29 02:42:52 采集卡 反转图像
2017-12-29 02:42:52 采集卡 生成图片数组
2017-12-29 02:42:52 采集卡 图片长度72113
2017-12-29 02:42:55 采集卡 开始采集图片
2017-12-29 02:42:55 采集卡 启动采集
2017-12-29 02:42:57 采集卡 采集完成
2017-12-29 02:42:57 采集卡 停止采集
2017-12-29 02:42:57 采集卡 转换数据
2017-12-29 02:42:57 采集卡 转换AD
2017-12-29 02:42:57 采集卡 修改点
2017-12-29 02:42:58 采集卡 GAMMA
2017-12-29 02:42:58 采集卡 容积89
2017-12-29 02:42:58 采集卡 反转图像
2017-12-29 02:42:58 采集卡 生成图片数组
2017-12-29 02:42:58 采集卡 图片长度69764
2017-12-29 02:43:10 PLC 快门2关闭(S09)
2017-12-29 02:43:10 PLC 快门关闭(S06)
2017-12-29 02:43:10 PLC 快门3打开(S13)
2017-12-29 02:43:10 PLC 快门2打开(S08)
2017-12-29 02:43:10 PLC 快门3关闭(S14)
2017-12-29 02:43:10 PLC 快门2关闭(S09)
2017-12-29 02:43:46 采集卡 开始采集图片
2017-12-29 02:43:46 采集卡 启动采集
2017-12-29 02:43:47 采集卡 采集完成
2017-12-29 02:43:47 采集卡 停止采集
2017-12-29 02:43:47 采集卡 转换数据
2017-12-29 02:43:47 采集卡 转换AD
2017-12-29 02:43:47 采集卡 修改点
2017-12-29 02:43:47 采集卡 GAMMA
2017-12-29 02:43:47 采集卡 容积93
2017-12-29 02:43:47 采集卡 反转图像
2017-12-29 02:43:47 采集卡 生成图片数组
2017-12-29 02:44:01 采集卡 图片长度66968
2017-12-29 02:44:42 采集卡 开始采集满度
2017-12-29 02:44:42 采集卡 启动采集
2017-12-29 02:44:42 采集卡 采集完成
2017-12-29 02:44:42 采集卡 转换数据
2017-12-29 02:44:46 高压电源 192.168.127.251打开高压
2017-12-29 02:44:48 PLC 快门开应答成功(AC02)
2017-12-29 02:44:48 PLC 快门3打开(S13)
2017-12-29 02:44:48 PLC 快门2打开(S08)
2017-12-29 02:44:50 采集卡 开始采集满度
2017-12-29 02:44:50 采集卡 启动采集
2017-12-29 02:44:50 采集卡 采集完成
2017-12-29 02:44:50 采集卡 转换数据
2017-12-29 02:45:09 PLC 快门2关闭(S09)
2017-12-29 02:45:09 PLC 快门关闭(S06)
2017-12-29 02:45:09 PLC 快门3打开(S13)
2017-12-29 02:45:09 PLC 快门2打开(S08)
2017-12-29 02:45:09 PLC 快门3关闭(S14)
2017-12-29 02:45:09 PLC 快门2关闭(S09)
2017-12-29 02:45:32 高压电源 192.168.127.251关闭高压
