2018-01-21 01:57:37 视频 线扫相机初始化成功。
2018-01-21 01:57:37 采集卡 采集卡0初始化成功。
2018-01-21 01:57:37 采集卡 采集卡1初始化成功。
2018-01-21 01:57:37 采集卡 采集卡2初始化成功。
2018-01-21 01:57:37 采集卡 采集卡3初始化成功。
2018-01-21 01:57:37 高压电源 192.168.127.252:高压电源初始化成功
2018-01-21 01:57:37 高压电源 192.168.127.251:高压电源初始化成功
2018-01-21 01:57:37 高压电源 192.168.127.253:高压电源初始化成功
2018-01-21 01:57:37 PLC 手动运行应答成功(AC01)
2018-01-21 01:57:37 PLC PLC始化成功
2018-01-21 01:57:37 上位机 车牌初始化成功
2018-01-21 01:57:42 PLC 关道闸1应答成功(AC05)
2018-01-21 01:57:43 PLC 关道闸2应答成功(AC16)
2018-01-21 01:57:44 高压电源 192.168.127.251打开高压
2018-01-21 01:57:44 高压电源 192.168.127.253打开高压
2018-01-21 01:57:44 高压电源 192.168.127.252打开高压
2018-01-21 01:57:44 高压电源 训机结束
2018-01-21 01:57:44 PLC 手动运行应答成功(AC01)
2018-01-21 01:57:44 采集卡 开始采集本底
2018-01-21 01:57:45 采集卡 启动采集
2018-01-21 01:57:45 采集卡 采集完成
2018-01-21 01:57:45 采集卡 转换数据
2018-01-21 01:57:45 PLC 快门开应答成功(AC02)
2018-01-21 01:57:45 PLC 快门3打开(S13)
2018-01-21 01:57:53 采集卡 开始采集满度
2018-01-21 01:57:53 采集卡 启动采集
2018-01-21 01:57:53 采集卡 采集完成
2018-01-21 01:57:53 采集卡 转换数据
2018-01-21 01:57:58 采集卡 开始采集图片
2018-01-21 01:57:58 采集卡 启动采集
2018-01-21 01:58:00 采集卡 停止采集
2018-01-21 01:58:00 采集卡 采集完成
2018-01-21 01:58:00 采集卡 转换数据
2018-01-21 01:58:01 采集卡 转换AD
2018-01-21 01:58:01 采集卡 修改点
2018-01-21 01:58:01 采集卡 GAMMA
2018-01-21 01:58:01 采集卡 模糊处理
2018-01-21 01:58:01 采集卡 R255，C7679
2018-01-21 01:58:01 采集卡 T1958145,C7679
2018-01-21 01:58:01 采集卡 容积0
2018-01-21 01:58:01 采集卡 容积0
2018-01-21 01:58:01 采集卡 反转图像
2018-01-21 01:58:01 采集卡 生成图片数组
2018-01-21 01:58:01 采集卡 图片长度87889
2018-01-21 01:58:01 PLC 快门2打开(S08)
2018-01-21 01:58:01 PLC 快门关应答成功(AC03)
2018-01-21 01:58:01 PLC 快门2关闭(S09)
2018-01-21 01:58:01 PLC 快门关闭(S06)
2018-01-21 01:58:01 PLC 快门3打开(S13)
2018-01-21 01:58:01 PLC 快门2打开(S08)
2018-01-21 01:58:01 PLC 快门3关闭(S14)
2018-01-21 01:58:01 PLC 快门2关闭(S09)
2018-01-21 01:58:01 PLC 自动运行应答成功(AC00)
2018-01-21 01:58:07 PLC 关道闸1应答成功(AC05)
2018-01-21 01:58:08 PLC 关道闸2应答成功(AC16)
2018-01-21 01:58:09 高压电源 192.168.127.251打开高压
2018-01-21 01:58:09 高压电源 192.168.127.252打开高压
2018-01-21 01:58:09 高压电源 192.168.127.253打开高压
2018-01-21 01:58:09 高压电源 训机结束
2018-01-21 01:58:09 PLC 手动运行应答成功(AC01)
2018-01-21 01:58:09 采集卡 开始采集本底
2018-01-21 01:58:09 采集卡 启动采集
2018-01-21 01:58:10 采集卡 采集完成
2018-01-21 01:58:10 采集卡 转换数据
2018-01-21 01:58:10 PLC 快门开应答成功(AC02)
2018-01-21 01:58:10 PLC 快门3打开(S13)
2018-01-21 01:58:12 采集卡 开始采集满度
2018-01-21 01:58:12 采集卡 启动采集
2018-01-21 01:58:12 采集卡 采集完成
2018-01-21 01:58:12 采集卡 转换数据
