2019-09-25 14:16:49 上位机 车牌初始化成功
2019-09-25 14:16:49 PLC 手动运行应答成功(AC01)
2019-09-25 14:16:50 PLC PLC始化成功
2019-09-25 14:16:52 采集卡 192.168.1.26初始化成功。
2019-09-25 14:16:52 采集卡 192.168.1.27初始化成功。
2019-09-25 14:16:52 采集卡 192.168.1.28初始化成功。
2019-09-25 14:16:52 采集卡 192.168.1.29初始化成功。
2019-09-25 14:16:52 采集卡 192.168.1.30初始化成功。
2019-09-25 14:16:52 高压电源 192.168.100.106:高压电源初始化成功
2019-09-25 14:16:52 高压电源 192.168.100.105:高压电源初始化成功
2019-09-25 14:16:56 PLC 快门开应答成功(AC02)
2019-09-25 14:16:56 PLC 快门打开(S05)
2019-09-25 14:16:58 PLC 快门关应答成功(AC03)
2019-09-25 14:16:58 PLC 快门关闭(S06)
2019-09-25 14:17:00 PLC 开道闸1应答成功(AC04)
2019-09-25 14:17:02 PLC 关道闸1应答成功(AC05)
2019-09-25 14:17:09 PLC 清除报警应答成功(AC12)
2019-09-25 14:17:12 PLC 快门关闭(S06)
2019-09-25 14:17:13 PLC 快门2打开(S08)
2019-09-25 14:17:13 PLC 快门3打开(S13)
2019-09-25 14:17:19 PLC 读取快门状态应答成功(AC13)
2019-09-25 14:17:20 PLC 快门关闭(S06)
2019-09-25 14:17:20 PLC 快门2打开(S08)
2019-09-25 14:17:20 PLC 快门3打开(S13)
2019-09-25 14:17:35 PLC 快门3打开(S13)
2019-09-25 14:17:35 PLC 快门关闭(S06)
2019-09-25 14:17:35 PLC 快门2打开(S08)
2019-09-25 14:17:35 PLC 快门3打开(S13)
2019-09-25 14:17:48 PLC 快门开应答成功(AC02)
2019-09-25 14:17:49 PLC 快门打开(S05)
2019-09-25 14:17:50 PLC 快门关应答成功(AC03)
2019-09-25 14:17:50 PLC 快门关闭(S06)
2019-09-25 14:17:52 PLC 开道闸1应答成功(AC04)
2019-09-25 14:17:53 PLC 关道闸1应答成功(AC05)
2019-09-25 14:17:55 PLC 自动运行应答成功(AC00)
2019-09-25 14:17:56 PLC 自动运行应答成功(AC00)
2019-09-25 14:17:56 PLC 快门关闭(S06)
2019-09-25 14:17:56 PLC 手动运行应答成功(AC01)
2019-09-25 14:18:01 PLC 手动运行应答成功(AC01)
2019-09-25 14:18:02 PLC 清除报警应答成功(AC12)
2019-09-25 14:18:09 PLC 读取快门状态应答成功(AC13)
2019-09-25 14:18:09 PLC 快门关闭(S06)
2019-09-25 14:18:09 PLC 快门2打开(S08)
2019-09-25 14:18:09 PLC 快门3打开(S13)
2019-09-25 14:18:10 PLC 读取快门状态应答成功(AC13)
2019-09-25 14:18:11 PLC 快门3打开(S13)
2019-09-25 14:18:11 PLC 快门关闭(S06)
2019-09-25 14:18:11 PLC 快门2打开(S08)
2019-09-25 14:18:11 PLC 快门3打开(S13)
2019-09-25 14:18:12 PLC 读取快门状态应答成功(AC13)
2019-09-25 14:18:12 PLC 快门关闭(S06)
2019-09-25 14:18:13 PLC 快门2打开(S08)
2019-09-25 14:18:13 PLC 快门3打开(S13)
2019-09-25 14:18:14 PLC 读取快门状态应答成功(AC13)
2019-09-25 14:18:14 PLC 快门关闭(S06)
2019-09-25 14:18:14 PLC 快门2打开(S08)
2019-09-25 14:18:14 PLC 快门3打开(S13)
2019-09-25 14:18:15 PLC 快门3打开(S13)
2019-09-25 14:18:15 PLC 快门关闭(S06)
2019-09-25 14:18:15 PLC 快门2打开(S08)
2019-09-25 14:18:15 PLC 快门3打开(S13)
2019-09-25 14:29:10 PLC 自动运行应答成功(AC00)
2019-09-25 14:29:47 PLC 手动运行应答成功(AC01)
2019-09-25 14:31:32 PLC 触发线圈1(S01)
2019-09-25 14:31:32 PLC 触发线圈1(S01)
2019-09-25 14:31:36 PLC 触发线圈1(S01)
2019-09-25 14:31:39 PLC 触发线圈1(S01)
2019-09-25 14:31:40 PLC 触发线圈1(S01)
2019-09-25 14:31:42 PLC 触发线圈1(S01)
2019-09-25 14:32:22 PLC 自动运行应答成功(AC00)
2019-09-25 14:33:12 PLC 触发线圈2(S02)
2019-09-25 14:33:17 PLC 触发线圈3(S03)
2019-09-25 14:33:17 PLC 开始采集(S00)
2019-09-25 14:33:17 PLC 快门打开(S05)
2019-09-25 14:33:19 PLC 采集结束(S16)
2019-09-25 14:33:19 采集卡 停止采集
2019-09-25 14:33:19 PLC 快门关闭(S06)
2019-09-25 14:33:37 高压电源 192.168.100.106更新训机时间
2019-09-25 14:33:40 高压电源 192.168.100.105更新训机时间
2019-09-25 14:33:44 高压电源 192.168.100.106关闭高压
2019-09-25 14:33:44 高压电源 192.168.100.105关闭高压
