2019-06-21 13:15:58 上位机 车牌初始化成功
2019-06-21 13:15:58 PLC 手动运行应答成功(AC01)
2019-06-21 13:15:58 PLC PLC始化成功
2019-06-21 13:16:00 采集卡 192.168.1.32初始化成功。
2019-06-21 13:16:00 采集卡 192.168.1.33初始化成功。
2019-06-21 13:16:00 采集卡 192.168.1.34初始化成功。
2019-06-21 13:16:00 采集卡 192.168.1.37初始化成功。
2019-06-21 13:16:00 采集卡 192.168.1.35初始化成功。
2019-06-21 13:16:00 高压电源 192.168.127.251:高压电源初始化成功
2019-06-21 13:16:00 高压电源 192.168.127.252:高压电源初始化成功
2019-06-21 13:16:00 高压电源 192.168.127.253:高压电源初始化成功
2019-06-21 13:16:04 PLC 自动运行应答成功(AC00)
2019-06-21 13:16:20 高压电源 192.168.127.252开始训机
2019-06-21 13:16:20 高压电源 192.168.127.251开始训机
2019-06-21 13:16:20 高压电源 192.168.127.253开始训机
2019-06-21 13:16:20 高压电源 192.168.127.252剩余4分钟
2019-06-21 13:16:20 高压电源 192.168.127.253剩余4分钟
2019-06-21 13:16:21 高压电源 192.168.127.253打开高压
2019-06-21 13:16:21 高压电源 192.168.127.252打开高压
2019-06-21 13:16:21 高压电源 192.168.127.251打开高压
2019-06-21 13:17:21 高压电源 192.168.127.253剩余3分钟
2019-06-21 13:17:21 高压电源 192.168.127.252剩余3分钟
2019-06-21 13:17:21 高压电源 192.168.127.251剩余3分钟
2019-06-21 13:18:21 高压电源 192.168.127.253剩余2分钟
2019-06-21 13:18:21 高压电源 192.168.127.252剩余2分钟
2019-06-21 13:18:21 高压电源 192.168.127.251剩余2分钟
2019-06-21 13:19:21 高压电源 192.168.127.253剩余1分钟
2019-06-21 13:19:22 高压电源 192.168.127.252剩余1分钟
2019-06-21 13:19:22 高压电源 192.168.127.251剩余1分钟
2019-06-21 13:20:32 高压电源 训机结束
2019-06-21 13:20:32 PLC 自动运行应答成功(AC00)
2019-06-21 13:22:31 PLC 触发线圈3(S03)
2019-06-21 13:30:42 PLC 触发线圈3(S03)
2019-06-21 13:42:30 PLC 触发线圈3(S03)
