[2020-08-23 09:09:32] [Info] Connect software-download.microsoft.com:443
[2020-08-23 09:09:33] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:33] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:35] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:37] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:37] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:38] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:42] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:42] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:43] [Info] Disconnect web.vortex.data.microsoft.com:443
[2020-08-23 09:09:43] [Info] Disconnect web.vortex.data.microsoft.com:443
[2020-08-23 09:09:46] [Info] Disconnect go.microsoft.com:443
[2020-08-23 09:09:46] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:46] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:50] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:50] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:50] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:51] [Info] Disconnect c.s-microsoft.com:443
[2020-08-23 09:09:54] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:54] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:55] [Info] Connect fclick.baidu.com:443
[2020-08-23 09:09:55] [Info] Connect vlscppe.microsoft.com:443
[2020-08-23 09:09:58] [Info] Connect crl.microsoft.com:80
[2020-08-23 09:09:59] [Info] Connect crl.microsoft.com:80
[2020-08-23 09:09:59] [Info] Disconnect crl.microsoft.com:80
[2020-08-23 09:09:59] [Info] Disconnect vlscppe.microsoft.com:443
[2020-08-23 09:09:59] [Info] Connect sp0.baidu.com:443
[2020-08-23 09:09:59] [Info] Connect sp2.baidu.com:443
[2020-08-23 09:09:59] [Info] Connect www.baidu.com:443
[2020-08-23 09:09:59] [Info] Connect www.baidu.com:443
[2020-08-23 09:09:59] [Info] Connect nav.smartscreen.microsoft.com:443
[2020-08-23 09:09:59] [Info] Connect nav.smartscreen.microsoft.com:443
[2020-08-23 09:09:59] [Info] Disconnect crl.microsoft.com:80
[2020-08-23 09:10:00] [Info] Connect www.somode.com:80
[2020-08-23 09:10:00] [Info] Connect nav.smartscreen.microsoft.com:443
[2020-08-23 09:10:00] [Info] Disconnect nav.smartscreen.microsoft.com:443
[2020-08-23 09:10:01] [Info] Disconnect nav.smartscreen.microsoft.com:443
[2020-08-23 09:10:02] [Info] Disconnect nav.smartscreen.microsoft.com:443
[2020-08-23 09:10:02] [Info] Connect www.somode.com:80
[2020-08-23 09:10:02] [Info] Connect www.somode.com:80
[2020-08-23 09:10:02] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:03] [Info] Connect www.somode.com:80
[2020-08-23 09:10:03] [Info] Connect www.somode.com:80
[2020-08-23 09:10:03] [Info] Connect www.somode.com:80
[2020-08-23 09:10:03] [Info] Connect www.somode.com:80
[2020-08-23 09:10:04] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:04] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:04] [Info] Connect www.somode.com:80
[2020-08-23 09:10:04] [Info] Connect www.somode.com:80
[2020-08-23 09:10:04] [Info] Connect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect www.somode.com:80
[2020-08-23 09:10:05] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:05] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect msite.baidu.com:80
[2020-08-23 09:10:05] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect www.somode.com:80
[2020-08-23 09:10:05] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:05] [Info] Connect www.somode.com:80
[2020-08-23 09:10:06] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:06] [Info] Disconnect www.somode.com:80
[2020-08-23 09:10:06] [Info] Disconnect www.somode.com:80
